,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Gin Rickey,Gin,2 oz ,Grenadine,1 tsp ,lemon,Juice of 1/2 ,Soda Water,Top up with,Lime,Garnish,,"
",,"
",,,,,,,,,,,,,,,,
Radler,Beer,12 oz ,7-Up,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Lone Tree Cooler,Carbonated water,"
",Gin,"
",Dry Vermouth,"
",Powdered sugar,"
",Orange spiral,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Angel Face,Apricot brandy,1/2 oz ,Apple brandy,1/2 oz ,Gin,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Chicago Fizz,Light rum,1 oz ,Port,1 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Bloody Mary,Vodka,1 1/2 oz ,Tomato juice,3 oz ,Lemon juice,1 dash ,Worcestershire sauce,1/2 tsp ,Tabasco sauce,2-3 drops ,Lime,1 wedge ,, ,, ,, ,, ,, ,,,,,,,,
Paradise,Gin,7 parts,Apricot Brandy,4 parts,Orange Juice,3 parts ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Alice in Wonderland,Amaretto,1 shot ,Grand Marnier,1 shot ,Southern Comfort,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Frappé,Coffee,1/2 cup black ,Milk,1/2 cup ,Sugar,1-2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Mocha-Berry,Coffee,6 oz ,Chambord raspberry liqueur,2 oz ,Cocoa powder,2 tblsp ,Whipped cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Grasshopper,Green Creme de Menthe,3/4 oz ,Creme de Cacao,3/4 oz white ,Light cream,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Gin Toddy,Gin,2 oz ,Water,2 tsp ,Powdered sugar,1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Tommy's Margarita,Tequila,4.5 cl,Lime Juice,1.5 cl,Agave syrup,2 spoons,,,,,, ,, ,,,,,,,,,,,,,,,,
