,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sparkling Julep,"6 mint leaves, plus sprig for serving",3/4 ounce simple syrup,3 ounces Champagne or dry sparkling wine,1/2 ounce cognac,1 dash bitters (such as Angostura),Lemon twist (for serving),,,,,,,,
Champagne Cocktail,2 small sugar cubes,1 ounce Bénédictine,1 ounce cr7ème de cacao,4 ounces champagne,,,,,,,,,,
Build a Spritz,1 1/2 ounces Suze,1 ounce club soda,1 ounce fresh orange juice,3 ounces Champagne or dry sparkling wine,Orange wheel and sage sprig (for serving),,,,,,,,,
"Champagne Punch with Ginger, Lemon, and Sage","1 lemon, thinly sliced",3–4 sprigs sage,8 strips lemon zest (from 1 lemon),1/2 large bunch of sage,1/2 cup sugar,1 1/4 cups fresh lemon juice,2 cups gin,"2 cups ginger liqueur, such as Canton",6 cups unflavored sparkling water,2 bottles chilled sparkling wine,A Bundt or tube pan; a large (about 6-quart) punch bowl or mixing bowl,,,
Earl Grey–Bourbon Punch,1/4 cup loose Earl Grey tea or 4 bags,1/2 cup honey,4 sprigs thyme,"2 sprigs rosemary, plus more for garnish",1 cup fresh lemon juice,1 1/2 cups bourbon,1/2 cup Cognac or brandy,1 teaspoon orange or regular bitters,Ice ring and lemon wheels (for serving),,,,,
Quick Cider-Mulled Wine,"1 (750 ml) bottle juicy light red wine, such as Beaujolais",4 ounces brandy,2 cups fresh apple cider,2 star anise pods,6 whole cloves,2 cinnamon sticks; plus 6 more for serving (optional),,,,,,,,
Gin and Mint Tea Cocktail,1 tablespoon plus 1 teaspoon gunpowder green tea or regular green tea,"1 2-inch piece ginger, peeled, thinly sliced",3 wide (2-inch) strips orange zest,1/2 cup sugar,"1/2 cup coarsely chopped mint, plus sprigs for serving",1 cup London dry gin,"1/2 cup fresh lemon juice, plus lemon wheels for serving",,,,,,,
Maple Old-Fashioned,2 ounces rye whiskey or bourbon,1 teaspoon pure maple syrup,Dash of Angostura bitters,Orange peel (for garnish),,,,,,,,,,
Frozen Raspberry-Ginger Margarita,3 cups frozen raspberries,1 cup tequila blanco,3/4 cup fresh lime juice,1/4 cup agave syrup,1 1/2 teaspoons finely grated ginger,4 (1/4-inch-thick) lime wheels (optional),Kosher salt (optional),,,,,,,
Tiki Cantaloupe-Coconut Cocktail,1 medium cantaloupe,1/2 cup unsweetened coconut milk,1/2 cup tequila,1/4 cup Midori or tequila,1/4 cup fresh lime juice,1/4 cup agave nectar,Mint sprigs and lime wheels (for serving),,,,,,,
Blueberry-Apple Cordials,2 cups fresh blueberries,1 wide strip lemon zest,2 cups applejack brandy (such as Laird’s Jersey Lightning),Simple syrup (for serving),Sparkling wine or club soda (for serving; optional),One 32-ounce jar; 3 layers of cheesecloth,,,,,,,,
Arnie’s Gimlet Slush,6 ounces vodka,5 ounces simple syrup,4 ounces chilled brewed black tea,3 ounces fresh lime juice,Mint sprigs (for serving),,,,,,,,,
Grenadine Syrup,2 cups 100% pomegranate juice (such as Pom Wonderful),2 cups granulated sugar,,,,,,,,,,,,
Cucumber Gin Cocktail,1 English hothouse cucumber,5 kaffir lime leaves or four 2-inch strips lime zest,2 teaspoons raw sugar,"4 lemon wheels, divided",4 ounces gin,1 ounce fresh lime juice,Club soda (for serving),,,,,,,
Grilled Stone Fruit Sangria,Vegetable oil (for grill),"2 peaches, halved, pitted","2 plums, halved, pitted","1 nectarine, halved, pitted","12 cherries, 6 halved, pitted, 6 left whole for serving",1 (750ml) bottle red wine,1/2 cup orange juice,1/4 cup brandy,1/4 cup simple syrup,,,,,
The Sicilian Slush,1/2 cup Campari,1/4 cup fresh lemon juice,1/4 cup fresh orange juice,1/4 cup gin,1/4 cup (or more) simple syrup,4 orange wheels,,,,,,,,
