,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Honey-Bourbon Toddy,2 tablespoons honey,"6 tablespoons bourbon (or better yet, Apple Bourbon, in which case you'll use 1 tablespoon honey)","3x1/2"" strip of lemon peel",1 cinnamon stick,,,,,,,,,,
The Long Hello,1 3/4 cups Calvados or other apple brandy,1 cup St-Germain (elderflower liqueur),"10 dashes bitters, preferably Fee Brothers Whiskey Barrel Aged Bitters or Angostura","1 750-milliliter bottle Champagne, chilled",Freshly grated nutmeg,One 12-cup Bundt or tube pan; 1 punch bowl,,,,,,,,
Simple Syrup,1 1/2 cups sugar,1 1/2 cups water,,,,,,,,,,,,
Gin Punch,Decorative ice block,"6 navel oranges, cut into quarter-wheels","6 lemons, cut into half-wheels","3 limes, cut into wheels",1 pint fresh raspberries,"1 pineapple, cut into 1-inch cubes",1 (750 ml) bottle Plymouth gin,1 3/4 cups freshly squeezed lemon juice,1 1/4 cups simple syrup,1/2 cup orgeat or almond syrup,1 cup Massenez crème de framboise,3 cups water,1 (750 ml) bottle Perrier-Jouët Grand Brut champagne,
Speakeasy Sparkler,"10 ounces calvados, applejack or apple brandy","4 ounces ginger brandy, ginger cordial or ginger syrup",Juice of 4 Meyer lemons,Ice cubes,"32 ounces sparkling cider, chilled",8 pieces (about 2 ounces) crystallized ginger or lemon twists,,,,,,,,
The Last Word,1/4 cup gin,2 tablespoons Chartreuse liqueur,2 tablespoons fresh lime juice,2 tablespoons maraschino liqueur (such as Luxardo),2 lime twists,Ingredient info: Luxardo maraschino liqueur is sold at well-stocked liquor stores and bevmo.com.,,,,,,,,
Mint Apple Crisp,Three 1/4-inch-thick slices Granny Smith apple,1/4 ounce Simple Syrup,2 fresh mint leaves,2 ounces Heart of the Hudson apple vodka,1 ounce junmai saké,Ice cubes,"muddler, mixing glass, barspoon, fine-mesh strainer",coupe,4 thin slices Granny Smith apple,,,,,
Rittenhouse Inn Wassail Punch,12 whole cloves,6 whole allspice,"1/2 inch fresh ginger root, peeled and sliced",3 cinnamon sticks,12 whole white peppercorns,1 gallon fresh apple cider,6 ounces cranberry juice,"3/4 cup light brown sugar, packed",10-12 ounces bourbon,"cheesecloth, kitchen string, large pot",mugs,ground nutmeg and 1 cinnamon stick per drink,,
Stumptown Vanilla Flip,1 fresh egg white,2 ounces Navan vanilla liqueur,"1/2 ounce fresh-brewed espresso, at room temperature",3/4 ounce Mandarine Napoléon orange liqueur,Ice cubes,"Hawthorn strainer, 2 cocktail shakers",cocktail,orange twist,,,,,,
Rye Witch,1 1/2 cups Kentucky rye whiskey (such as Rittenhouse Bottled-in-Bond or Wild Turkey),3 tablespoons Strega (herbal liqueur),3 tablespoons Amontillado Sherry (such as Lustau or González Byass Del Duque),2 tablespoons  No-Cook Simple Syrup,12 dashes orange bitters,12 orange twists,,,,,,,,
Parkside Fizz,6 large mint sprigs,5 tablespoons orgeat syrup (almond; such as Monin),1 1/2 cups citrus vodka (such as Hangar One Buddha's Hand Citron or Absolut Citron),1/2 cup plus 1 tablespoon fresh lemon juice,1 1/2 cups club soda,,,,,,,,,
Cranberry Cobbler,3/4 cup sugar,1 cup fresh or frozen cranberries,"1 lemon, cut into wedges","1/2 orange, sliced into thin rounds",1 1/2 cups London dry gin (such as Beefeater or Tanqueray),1/2 cup plus 1 tablespoon off-dry Sherry (such as Lustau East India Solera),6 mint sprigs,,,,,,,
Honey Rye,5 tablespoons rye whiskey,3 tablespoons honey liqueur (such as Bärenjäger),1/4 teaspoon orange bitters,Ginger ale,2 orange twists,Ingredient info: Honey liqueur is available at well-stocked liquor stores and online from bevmo.com.,,,,,,,,
Watermelon Sugar,"1 jalapeño, halved lengthwise",3/4 cup tequila blanco,"2 cups 3/4"" cubes seedless watermelon",6 tablespoons fresh lime juice,6 tablespoons Simple Syrup,1/4 cup mezcal or gold tequila,,,,,,,,
Raspberry Shrub,2 tablespoons Simple Syrup,2 tablespoons Raspberry Vinegar,1 tablespoon brandy (optional),sparkling water or Prosecco,1 lemon slice or mint sprig,,,,,,,,,
"Rosé, Bourbon, and Blue",7 tablespoons raw sugar,"2 cups fresh blueberries, divided",2 cups brewed unsweetened black tea,1 1/2 cups fruity rosé,1 cup bourbon,3/4 cup fresh lemon juice,8 lemon slices,,,,,,,
Ruben's Cooler No. 2,2 cups thinly sliced unpeeled cucumber,2 1/4 cups Hendrick's Gin,1 1/4 cups St-Germain liqueur,1 cup fresh lemon juice,1 teaspoon kosher salt,1 1/2 cups club soda,,,,,,,,
Lemon Balm Honeysuckle,6 tablespoons honey,2 cups lemon vodka or white rum,3/4 cup fresh lemon juice,1 cup (loosely packed) fresh lemon balm leaves or mint leaves,8 lemon slices,,,,,,,,,
Sidewalker,1 1/4 cups Applejack,1 1/4 cups fresh lemon juice,3/4 cup pure maple syrup (preferably Grade B),6 tablespoons apple cider vinegar,4 cups chilled Hefeweizen beer,3/4 cup chilled club soda,8 lemon wedges,,,,,,,
Tomato-Water Bloody Mary,"4 pounds tomatoes, chopped","1/2 pound Persian or English hothouse cucumbers, chopped","1 celery stalk, chopped",2 tablespoons prepared white horseradish,kosher salt and freshly ground black pepper,Sugar,2 tablespoons (or more) vodka,Lemon slices,Cucumber spears,,,,,
Papaya Margarita,1 cup sugar,"1/2 cup plus 2 tablespoons fresh lime juice, plus zest for garnish",1 1/2 teaspoon minced fresh rosemary,"1/2 large Mexican papaya, seeded, or 1 large Hawaiian papaya, halved, seeded",3/4 cup tequila blanco,4 fresh orchid blossoms (optional),,,,,,,,
Spicy Grapefruit Margarita,2 cups plus 2 tablespoons tequila,"1-2 habanero chiles, halved",Kosher salt,6 cups fresh pink grapefruit juice,,,,,,,,,,
Mango-Cucumber Wine Cooler,1 1/2 tablespoons sugar,1 750 milliliter bottle Sauvignon Blanc,"1 hothouse cucumber, peeled, cut into 1/4"" rounds","1 mango, pitted, peeled, finely diced","12 sprigs fresh mint, divided",1 cup ginger ale,,,,,,,,
Cactus Fruit Cocktails,"4 prickly pears, peeled",Ice,4 ounces tequila,1 1/2 ounces triple sec,1 tablespoon freshly squeezed lime juice,1 tablespoon sugar,Coarse-grained salt for rimming (optional),Lime slices for garnish (optional),,,,,,
Smoke Signals,2 cups pecan or hickory wood chips,Ice cubes,1/2 cup sugar,"1/2 cup coarsely chopped pecans, toasted",10 tablespoons Jack Daniel's or other whiskey,6 tablespoons amontillado Sherry,2 tablespoons fresh lemon juice,,,,,,,
Southern Comfort Champagne Cocktail,1 ounce Southern Comfort,Dash Angostura bitters,4 ounces chilled champagne,Twist lemon peel,,,,,,,,,,
Lemongrass Mojito,2 lemongrass stalks,6 large fresh mint leaves,3 tablespoons sugar,6 tablespoons white rum,3 tablespoons fresh lime juice,Ice cubes,1 cup chilled club soda,,,,,,,
Book-Club Buck,2 ounces Amontillado sherry,1 ounce Ginger-Lime-Infused Simple Syrup,1/2 ounce (1 tablespoon) fresh lime juice,2–3 ounces club soda,"curl of lime peel, for garnish",,,,,,,,,
Classic Champagne Cocktail,1 sugar cube,Angostura bitters,Champagne,"Lemon or orange twist, for garnish",,,,,,,,,,
Sparkling Apple Cocktail,1 ounce apple juice,1/2 ounce cognac,1/2 ounce simple syrup,4 to 5 red or green apple chunks,3 ounces champagne,,,,,,,,,
Limoncello Sparkle,1 ounce limoncello (an Italian lemon liqueur),1/2 ounce Cointreau,Champagne,"Long lemon peel, for garnish",,,,,,,,,,
Siren's Song,3 ounces champagne,1 ounce ginger beer,1/2 ounce raspberry puree,1/2 ounce raspberry liqueur,,,,,,,,,,
The Autumn Orchard,1/4 cup Cognac (such as Camus VS),1/4 cup Calvados (apple brandy),2 tablespoons Cointreau or other orange liqueur,2 tablespoons pear liqueur (such as Rothman and Winter or Mathilde),4 1/2 teaspoons fresh lime juice,2 dashes of Angostura bitters,Ice cubes,2 lime slices,,,,,,
Chandon Brut Mojito,"7 to 10 fresh mint leaves, plus 1 leaf for garnish",1/2 oz/15 ml Simple Syrup,"Juice of 1/4 lime, plus 1 lime wedge for garnish",1 oz/30 ml rum,Ice cubes,1 oz/30 ml chilled sparkling wine,,,,,,,,
The Roquette,1 cup (loosely packed) baby arugula plus additional for garnish,4 1/2 teaspoons dark agave nectar,41 /2 teaspoons fresh lime juice,1/2 cup Hendrick's Gin,Ice cubes,Ingredient info: Hendrick's Gin is a Scottish gin infused with cucumber and rose petals. It's available at some specialty foods stores and well-stocked liquor stores.,,,,,,,,
Rosemary Martinis,"16 pimento-stuffed olives, in brine",1 tablespoon chopped fresh rosemary,1 (6-inch) sprig fresh rosemary,1 bottle (750 ml) gin,1/4 cup dry vermouth,,,,,,,,,
Blended Golden Mojito,Sugar (for coating rims of glasses),1 lime wedge,1 cup gold (not dark) rum (such as Mount Gay),1/2 cup (generous) fresh lime juice,1/3 cup sugar or light agave nectar,4 to 5 cups ice cubes,12 fresh mint leaves plus 4 mint sprigs for garnish,,,,,,,
Cucumber Yum Yum Cocktail,"12 1/8-inch-thick slices English hothouse cucumber, divided","10 fresh raspberries, divided",1/4 cup gin,1/4 cup acacia honey,2 tablespoons (scant) aquavit*,2 tablespoons (scant) fresh lime juice,Crushed ice,,,,,,,
Raspberry Smash,2 lime wedges,Sugar (for dipping),1/2 cup fresh raspberries,6 tablespoons vodka,4 teaspoons sugar,1 1/2 cups ice cubes,1/4 cup chilled Champagne,,,,,,,
Leland Palmer,1/2 cup honey,1/2 cup hot water,"3 cups freshly brewed jasmine tea, cooled",3/4 cup gin,3/4 cup limoncello*,3/4 cup fresh lemon juice,1/2 cup fresh grapefruit juice,1 cup chilled club soda,Ice cubes,6 lemon slices (for garnish),,,,
Tequila Tamarindo,"8 ounces tamarind paste (from seedless pliable block), coarsely chopped (about 1 cup)","5 cups water, divided","1 4-ounce piece fresh ginger, peeled, thinly sliced into rounds (scant 1 cup)",1 cup sugar,"12 orange slices, divided",3/4 cup silver (or white) tequila,1/4 cup fresh lime juice,1/4 teaspoon coarse kosher salt,Ice cubes,"3 cups chilled club soda, divided",,,,
Cucumber Sake-Tini,3/4 cup/180 ml gin,1/4 cup/60 ml premium sake,1/4 cup/60 ml fresh lime juice,"2 cups/280 g peeled, seeded, and diced cucumber, frozen","1/2 cup/85 g green grapes, frozen",1/4 cup/10 g firmly packed fresh mint leaves,2 tbsp agave nectar,Pinch of sea salt,,,,,,
Blood Orange Champagne Cocktail,1/4 cup crème de cassis (black-currant liqueur),1 1/2 cups strained fresh blood orange juice (from about 6 oranges),1 750-ml bottle chilled brut Champagne or dry sparkling wine,8 blood orange slices (optional),,,,,,,,,,
Hudson Bay,1 oz. (2 Tbsp.) gin,1/2 oz. (1 Tbsp.) cherry brandy,1/2 oz. (1 Tbsp.) fresh orange juice,1 1/2 tsp. 151-proof rum,1 tsp. fresh lime juice,lime slice,,,,,,,,
Punch à la Noix de Coco,1 cup freshly grated coconut (save the liquid for a different drink if you're grating it yourself),"4 ounces white rhum agricole, such as Rhum Dillon",1/2 cup sugar,2-inch piece vanilla bean,1/2 teaspoon lemon zest,1/4 teaspoon freshly grated nutmeg,Ice cubes (optional),Coconut slices for garnish (optional),,,,,,
Strawberry Daiquiri,1/2 cup crushed ice,5 large strawberries,"2 ounces white rum, such as Bacardi Light",2 teaspoons sugar,1/2 ounce freshly squeezed strained lime juice,,,,,,,,,
The Produce Stand,3 or 4 cherry tomatoes,2 wedges lime,"2 to 4 fresh basil leaves, plus more for garnish",2 1/2 ounces tomato juice,2 ounces Sagatiba Pura or another cachaça,Worcestershire sauce,Hot sauce,Salt,,,,,,
Blackberry-Poblano Margarita,1 tablespoon fresh blackberries,"1 tablespoon diced poblano peppers, or 1 1/2 tablespoons, if very mild",1 ounce silver tequila,3/4 ounce Cointreau,,,,,,,,,,
Bangkok Margarita,2 ounces reposado tequila,2 ounces pineapple juice,1 ounce Domaine de Canton ginger liqueur,Pinch of Maldon salt,Pinch of Aleppo pepper,1 lime,,,,,,,,
Limoncello Champagne Cocktails with Mint,1/4 cup fresh mint leaves,1/4 cup limoncello,2 tablespoons sugar plus additional for dipping Champagne flutes,Lemon peel strips from 1 lemon,4 teaspoons fresh lemon juice plus 1 lemon wedge,1 cup (about) chilled Champagne or sparkling wine,,,,,,,,
Hurricane,1 ounce (2 tablespoons) light rum,1 ounce (2 tablespoons) dark rum,1/2 ounce (1 tablespoon) passion-fruit juice,1/2 ounce (1 tablespoon) fresh lime juice,,,,,,,,,,
Income Tax Cocktail,1 1/2 ounces (3 tablespoons) gin,1/2 ounce (1 tablespoon) fresh orange juice,2 teaspoons dry vermouth,2 teaspoons sweet vermouth,2 dashes (about ⅛ tsp.) Angostura bitters,,,,,,,,,
The Pimm's Cup,"1 3-inch piece English cucumber, cut into 1/2-inch slices, plus 2 spears (for garnish)",3/4 cup Pimm's No. 1*,3 tablespoons fresh Meyer lemon juice or regular lemon juice,1/2 teaspoon sugar,Ice cubes,"2 sprigs each fresh rosemary, thyme, and mint",2 lemon slices,"2 fresh strawberries, halved","Ginger beer, chilled",2 rhubarb stalks (for garnish),,,,
Curry-Spiced Bloody Marys,10 cups tomato juice (preferably organic),1 2/3 cups vodka,1/2 cup fresh lemon juice,1/2 cup fresh lime juice,1/4 cup balsamic vinegar,2 tablespoons plus 2 teaspoons Madras curry powder,2 teaspoons (or more) fine sea salt,1 teaspoon freshly ground black pepper,Crushed ice,Celery sticks (for garnish),,,,
Peppermint Cosmo,1 cup pomegranate juice,Juice of 1 lime,4 ounces vodka,1/4 teaspoon peppermint extract,8 ice cubes,8 mini candy canes,2 tablespoons chopped fresh mint,,,,,,,
Clementine Negroni,"3 clementines, peeled",3 dashes of orange bitters,1/4 cup Hendrick's Gin*,1/4 cup Campari,3 tablespoons sweet vermouth,Ice cubes,2 clementine slices (for garnish),cocktail shaker,,,,,,
Chickpea Confit,"Cloves from 1 head of garlic, separated and peeled",1 teaspoon cumin seeds,1 teaspoon mustard seeds,"2 1/2 cups cooked chickpeas or 28-ounce can best-quality chickpeas (such as Goya), well rinsed and well drained",Kosher salt and whole black peppercorns,"Blended oil (50 percent canola, 50 percent extra-virgin olive), as needed",,,,,,,,
Sweet and Savory Spiced Nuts,3 tablespoons sugar,1 teaspoon paprika,1 teaspoon ground cinnamon,1/2 teaspoon ground cumin,Pinch of ground cloves,1 large egg white,2 cups walnut halves (1/2 pound),2 cups pecan halves (1/2 pound),,,,,,
Canton Ginger Kick,Ginger syrup,1 cup plus 1 tablespoon vodka,6 ounces (3/4 cup) Domaine de Canton (ginger liqueur),1/2 cup plus 1 tablespoon fresh lemon juice,"1 (1-liter) bottle soda water or seltzer, chilled",Garnish: candied ginger (see recipe at gourmet.com or use store-bought); lemon wedges,,,,,,,,
The Manhattan,Shaker with ice,Hearty shot of bourbon,Splash of sweet vermouth,Dash of bitters,,,,,,,,,,
Fresh Mint Tea Juleps,2 quarts water,4 quarts mint sprigs (6 ounces),1/2 cup sugar,8 ounces (1 cup) bourbon,Garnish: mint sprigs,,,,,,,,,
Sweet Tea with Vodka and Lemonade,2 large tea bags for iced tea,1/2 cup boiling water,8 fresh mint sprigs,4 cups lemonade made from frozen concentrate,1/2 cup vodka,Ice cubes,8 lemon slices,,,,,,,
Tamarind and Vodka Cocktail,8 cups water,3/4 cup sugar,"1/2 cup plus 8 teaspoons tamarind concentrate,* divided","2 tablespoons plus 4 teaspoons fresh lime juice, divided","12 tablespoons vodka, divided","4 cups ice cubes, divided",Lime slices,,,,,,,
Beach Bourbon Slush,2 cups unsweetened brewed black tea,5 cups water,2 cups Jack Daniel's Black Label,1/4 cup sugar,"One 12-ounce can frozen lemonade concentrate, thawed","One 6-ounce can frozen orange juice concentrate, thawed","Chilled ginger ale, as needed",,,,,,,
Grapefruit Gimlet,1/4 cup Charbay Ruby Red Grapefruit Vodka,1/4 cup vodka,1/4 cup fresh lime juice,2 tablespoons Simple Syrup (see below),Ice cubes,2 lime slices,,,,,,,,
Peach Royale,2 tablespoons peach nectar,2 tablespoons peach liqueur (such as Mathilde Pêches),1 cup (about) chilled Prosecco,,,,,,,,,,,
Texas Margaritas,6 ounces (3/4 cup) frozen limeade concentrate,6 ounces (3/4 cup) tequila,4 ounces (1/2 cup) beer,2 ounces (1/4 cup) orange juice,2 cups ice cubes,Coarse salt (optional),,,,,,,,
Vodka Rosemary Lemonade Fizz,1 cup fresh lemon juice,1 cup sugar,2 (8-inch) rosemary sprigs,1/2 cup vodka,Chilled club soda or seltzer,Garnish: 8 (3-inch) rosemary sprigs,,,,,,,,
Piña Pisco Sours,3 cups (1-inch) pineapple chunks (from 1/2 pineapple),1 1/2 cups pisco (preferably Peruvian; 12 ounces),1/2 cup fresh lime juice (preferably Key lime),4 large egg whites,1/3 cup superfine granulated sugar,8 drops Angostura bitters,,,,,,,,
The Stout Diplomat,"2 tablespoons (1 ounce) mild dark rum, such as Diplomatico, chilled","1 tablespoon (1/2 ounce) Pedro Ximénez sherry, chilled","12 tablespoons (6 ounces) chocolate or regular stout, chilled",,,,,,,,,,,
Happy Mich,1 teaspoon kosher salt,"1 teaspoon plus 1 pinch Pico Piquin seasoning (see chef's notes, below)",1 lime wedge,2 2-by-2-inch cubes watermelon plus 1 slice for garnish,1 tablespoon (1/2 ounce) freshly squeezed lime juice,"1 tablespoon (1/2 ounce) hibiscus concentrate (see chef's notes, below)","2 dashes hot sauce, such as Tabasco","2 dashes Tajin regular snack sauce (see chef's notes, below)",About 2 cups ice cubes,"About 6 ounces lager, such as Dos Equis",,,,
The Cure,2 cups ice cubes,2 tablespoons (1 ounce) Domaine de Canton ginger liqueur,"10 tablespoons (5 ounces) light lager, such as Miller High Life",1 tablespoon (1/2 ounce) fresh lemon juice,5 (1-inch) pieces peeled fresh ginger cut into thin matchsticks,,,,,,,,,
Pimm's Cup Cocktails,1/2 cup sugar,1/2 cup water,2 cups Pimm's No.1*,1 cup fresh Meyer lemon juice,"2 Meyer lemons, thinly sliced","1 orange, halved, thinly sliced","1 6-inch-long piece cucumber, thinly sliced","1 3-inch-long piece fresh ginger, thinly sliced",1/4 cup fresh mint leaves,1 1/2 cups chilled club soda,Ice cubes,Cucumber spears (for garnish),,
Pomegranate Cocktail,"6 ounces premium vodka (Blowfish Sushi uses Han Soju, an Asian spirit)",2 ounces seltzer,4 ounces Triple Sec,4 ounces pomegranate juice,"2 lemons, juiced","1 pomegranate, seeded",,,,,,,,
Wahine (Pineapple Punch),1 cup cracked ice,3 ounces (6 tablespoons) unsweetened pineapple juice,2 ounces (1/4 cup) white rum,2 ounces (1/4 cup) vodka,2 tablespoons fresh lemon juice,1 tablespoon simple syrup,"Garnish: fresh mint sprigs and 2 wooden or plastic skewers, each threaded with a pineapple wedge and a maraschino cherry",,,,,,,
Bloody Mary,1/4 cup (2 ounces) tomato juice,3 tablespoons (1 1/2 ounces) vodka,1 teaspoon Worcestershire sauce,3/4 teaspoon freshly grated horseradish,"3 dashes hot pepper sauce, such as Tabasco",1 pinch salt,1 dash freshly ground black pepper,About 1 cup ice cubes,1/4 teaspoon fresh lemon juice,1 stalk celery,1 lemon wedge (optional),,,
El Diablo,About 1 cup ice cubes,1/4 cup (2 ounces) reposado tequila,6 tablespoons (3 ounces) ginger beer or ginger ale,1 teaspoon crème de cassis,1 lime wedge,,,,,,,,,
Royal Blush,1 teaspoon cherry purée (note: recipe below makes 3/4 cup),3 tablespoons (1 1/2 ounces) vodka,1 1/2 tablespoons (3/4 ounce) fresh lime juice,1 tablespoon (1/2 ounce) simple syrup,5 fresh mint leaves,1 cup ice cubes,"1/4 cup (2 ounces) dry sparkling wine, such as brut Champagne, chilled",,,,,,,
Pimm's Cup,2 or 3 ice cubes,1 thin slice lemon,Small piece cucumber peel,"2 ounces Pimm's No. 1, 2 or 3","Lemon soda, Tom Collins mix or club soda",,,,,,,,,
Pisco Sour,2 ounces Pisco (Peruvian brandy),1 teaspoon superfine sugar,1 teaspoon lime or lemon juice,1 tablespoon egg white,3 or 4 ice cubes,2 or 3 dashes Angostura bitters,,,,,,,,
Ramos Gin Fizz,Cut lemon,Superfine sugar,2 ounces gin,1 egg white,2 tablespoons cream,1/2 teaspoon orange-flower water,2 tablespoons lemon juice,1 1/2 tablespoons lime juice,1/2 cup crushed ice,Club soda (optional),,,,
Martinez,1 1/2 ounces gin or vodka,1 ounce dry vermouth,2 dashes orange bitters,1 1/2 teaspoon curaçao,3 or 4 ice cubes,,,,,,,,,
Blood and Sand,1/2 ounce Scotch whiskey,1/2 ounce cherry brandy,1/2 ounce sweet vermouth,1/2 ounce orange juice,3 or 4 ice cubes,,,,,,,,,
Nutty Monk,1 liter Cognac,1 cup walnut halves,2 tablespoons (1 ounce) Benedictine liqueur,1 dash bitters,1 cup ice cubes plus 1 large cube,1 fresh cherry,"funnel, coffee filter",,,,,,,
King of Snake Cocktail,"1 1/3-inch slice peeled fresh ginger, coarsely chopped",2 tablespoons (packed) golden brown sugar,2 cups ice cubes,1/4 cup vodka,1/4 cup fresh lemon juice,2 tablespoons chile-pepper-flavored vodka (such as Absolut Peppar or Stolichnaya Pepper),2 tablespoons Cointreau or other orange liqueur,Crushed ice,,,,,,
Orange Aperol Sun,Ice cubes,6 tablespoons Aperol,6 tablespoons fresh orange juice,1 750-ml bottle Prosecco,6 thin orange slices (for garnish),,,,,,,,,
Catch-22 Cocktail,6 tablespoons Batavia arrack,6 tablespoons manzanilla Sherry,6 tablespoons Clément Créole Shrubb,6 teaspoons Homemade Chocolate Liqueur,Ice cubes,4 orange peel strips,,,,,,,,
The Celtic Buck,1 tablespoon (1/2 ounce) whole allspice berries or 1 teaspoon ground allspice,2 cups sugar,2 cups water,1/4 cup (2 ounces) Scotch whisky,2 tablespoons (1 ounce) pear nectar,1 tablespoon (1/2 ounce) fresh lemon juice,About 5 to 6 cubes ice,3 tablespoons (1 1/2 ounces) ginger ale,3 slices pear (optional),1 stick cinnamon (optional),"1 toothpick, 2 thin straws (optional)",,,
Abinsthe Frappe,1 cup crushed or cracked ice,3 tablespoons (1 1/2 ounces) absinthe,1 tablespoon (1/2 ounce) simple syrup,2 to 4 tablespoons (1 to 2 ounces) club soda (optional),,,,,,,,,,
Absinthe Suissesse,3 tablespoons (1 1/2 ounces) absinthe,1 tablespoon (1/2 ounce) orgeat syrup*,1 egg white** or 2 tablespoons pasteurized liquid egg whites (optional),1 dash orange flower water (optional),1/4 cup (2 ounces) heavy cream or half-and-half,1/2 cup crushed ice,"*Orgeat syrup is also known by its Italian name, orzata syrup. Camper English prefers orgeat syrup from Torani or Fee Brothers.",**The egg white in this recipe is not cooked. If there is a problem with salmonella in your area omit the egg white or use pasteurized egg whites.,,,,,,
Absinthe Sazerac,1 1/2 cups ice cubes,1 cube or 1/2 teaspoon sugar,4 dashes Peychaud Bitters*,1/4 cup (2 ounces) rye whiskey,About 1/2 teaspoon absinthe,1 thin strip lemon peel,"*Peychaud Bitters are available online at buffalotrace.com. If unavailable, Angostura Bitters can be substituted.",,,,,,,
Chrysanthemum,1 teaspoon absinthe,2 tablespoons (1 ounce) Benedictine liqueur,1/4 cup (2 ounces) dry vermouth,1 cup ice cubes,1 thin strip orange peel,,,,,,,,,
Death in the Afternoon,3 tablespoons (1 1/2 ounces) absinthe,1/2 to 3/4 cup (4 to 6 ounces) cold Champagne or sparkling wine,,,,,,,,,,,,
Old Fashioned,1 scant teaspoon simple syrup,"2 dashes Angostura Bitters, plus more to taste","1 half dollar–sized slice orange peel, including pith",2 ounces good-quality rye or bourbon,1 maraschino cherry,,,,,,,,,
Christmas Caipirinhas,Peel from 4 large limes (green part only; removed with vegetable peeler in 2-inch-long strips),1 cup fresh lime juice,8 1/4-inch-thick slices peeled fresh ginger,1/4 cup sugar,30 large fresh mint leaves plus 10 fresh mint sprigs for garnish,1 cup Brazilian rum (such as cachaça),3 cups ice cubes plus additional for serving,5 cups ginger beer or ginger ale,,,,,,
Sidecar,2 ounces brandy,1/2 ounce Cointreau or Triple Sec,1/2 ounce lemon juice,3 or 4 ice cubes,,,,,,,,,,
Grape Crush Martini,1/2 pound Concord grapes (about 44 grapes),1/2 cup vodka,1/4 cup superfine sugar,1/4 cup fresh lime juice (from about 3 limes),1 cup ice,,,,,,,,,
Sangria Blanco,6 to 8 ice cubes,4 1/2 teaspoons (3/4 ounce) cachaca,4 1/2 teaspoons (3/4 ounce) Pisco,4 1/2 teaspoons (3/4 ounce) St Germain (elderflower liqueur),1/4 cup (2 ounces) semisweet white wine such as a Riesling or Gewürztraminer,1/8 teaspoon freshly squeezed lime juice plus 2 thin slices lime,1/4 cup (2 ounces) soda water,3 thin slices kiwi,3 thin slices apple,3 thin slices cucumber,"3 green grapes, cut in half",2 fresh sage leaves,1 sprig fresh thyme,
Amazonia,2 tablespoons (1 ounce) cachaca,6 fresh mint leaves,8 to 10 ice cubes,2 tablespoons (1 ounce) apple juice,1 tablespoon (1/2 ounce) freshly squeezed lime juice,1 tablespoon (1/2 ounce) simple syrup,6 tablespoons (3 ounces) Champagne or any sparkling wine,1 apple slice,,,,,,
Bloody Carioca,8 to 10 ice cubes,1/4 cup (2 ounces) cachaca,1/2 cup (4 ounces) tomato juice,1 tablespoon (1/2 ounce) passion fruit juice,1 tablespoon (1/2 ounce) lemon juice,1/2 teaspoon lime juice,1/8 teaspoon freshly ground black pepper,1/8 teaspoon ground celery salt,1/8 teaspoon ground nutmeg,1/8 teaspoon sea salt,"1/4 teaspoon hot sauce, such as Tabasco",1/4 teaspoon Worcestershire sauce,1 stick cucumber (about 7 inches long and 1/4 inch thick),2 green olives
Caipirinha de Uva,4 lime wedges (from 1/2 lime),7 green grapes,"2 teaspoons raw sugar, such as turbinado or Demerara",1/4 cup (2 ounces) cachaca,3 tablespoons (1 1/2 ounces) semisweet white wine such as Gewürztraminer,8 to 10 ice cubes,1 (4-to 5-inch) wooden skewer,,,,,,,
Pearl Button,8 to 10 ice cubes,1/4 cup (2 ounces) cachaca,4 1/2 teaspoons (3/4 ounce) Lillet Blanc,1 tablespoon (1/2 ounce) freshly squeezed lime juice,1/2 cup (4 ounces) San Pellegrino Limonata,1/2 grapefruit wheel,,,,,,,,
Cucumber Martini,1 1/2 cups gin,"1 cucumber (about 9 ounces), cut into 1/3-inch-thick slices, plus 6 thin slices for garnish",2 tablespoons (or more) dry vermouth,Ice cubes,,,,,,,,,,
The Widow's Touch,1 cup ice cubes,5 tablespoons Laird's Applejack,3 tablespoons St-Germain (elderflower liqueur),1 tablespoon Bénédictine liqueur,2 dashes of angostura bitters,,,,,,,,,
Watermelon Rum Mash,"6 fresh shiso (or mint) leaves, plus 8 additional sprigs for garnish","12 3/4 cups (2 3/4 quarts) cubed seedless watermelon, pureed and strained (makes 1 1/2 quarts juice)",1 2/3 cups white rum (or to taste),,,,,,,,,,,
French 75 Cocktail,1/3 cup sugar,1/3 cup water,1/2 cup gin (preferably English dry gin),3 tablespoons fresh lemon juice,1 (750-ml) bottle well-chilled Champagne,Garnish: julienned lemon zest,,,,,,,,
Satan's Whiskers,Cracked ice,1 ounce gin,1 ounce dry vermouth,1 ounce sweet vermouth,1 ounce freshly squeezed orange juice,4 teaspoons orange curaçao or Grand Marnier,2 teaspoons orange bitters,"2 orange twists, for garnish",,,,,,
Bazooka Bubblegum Cocktail,"16 pieces bubblegum, preferably Double Bubble, cut in half",2 cups (16 ounces) vodka,1 tablespoon (1/2 ounce) freshly squeezed lemon juice (from ½ lemon),1 tablespoon (1/2 ounce) freshly squeezed lime juice (from ½ lime),1 tablespoon (1/2 ounce) simple syrup,1/2 egg white* or 1 tablespoon pasteurized liquid egg whites (optional),1 cup ice,*The egg white in this recipe is not cooked. If there is a problem with salmonella in your area omit the egg white or use pasteurized egg whites.,,,,,,
