,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
['Thanksgiving Turkey'],1 (1.5 fluid ounce) jigger bourbon whiskey,1/2 cup orange juice,1 teaspoon frozen lemonade concentrate,1 teaspoon frozen limeade concentrate,1/3 cup ginger ale,,,,,,,,,,
['Ha Ha Juice (a.k.a. Party Punch)'],1 cup vodka,1 cup sloe gin,1 cup amaretto liqueur,1 cup peach-flavored bourbon liqueur (such as Southern Comfort ®),2 (46 fluid ounce) cans unsweetened pineapple juice,,,,,,,,,,
['Yankee Mint Julep'],"6 fresh mint leaves, or more to taste",1 fluid ounce Kentucky bourbon,2 teaspoons maple syrup,"ice, or as needed","4 fluid ounces lemonade, or to taste",1 sprig fresh mint,1 lemon wedge,,,,,,,,
['Texas Tea II'],1 (1.5 fluid ounce) jigger Kentucky bourbon,1/2 fluid ounce triple sec liqueur,1/2 cup prepared lemonade,2 fluid ounces chilled lemon-lime soda per serving,1 wedge lemon,,,,,,,,,,
['Lady Joy'],2/3 fluid ounce lemon rum,2/3 fluid ounce Blue Curacao,6 fluid ounces champagne,"1 twist lemon zest, garnish",,,,,,,,,,,
['Annex Theater Champagne Cocktail'],1 sugar cube,1 dash bitters (such as Angostura®),5 fluid ounces Champagne,,,,,,,,,,,,
['Sicilian Sunset'],2 cups ice cubes,1 cup Prosecco (Italian sparkling wine),1 cup orange juice,1 cup cranberry juice,"2 lemons, zested",,,,,,,,,,
['The Champagne Cocktail'],3/4 fluid ounce pear brandy,5 fluid ounces Champagne or other sparkling white wine,1 tablespoon whole-berry blackberry preserves,,,,,,,,,,,,
['Wallaby-Darned'],1 (1.5 fluid ounce) jigger vodka,1 (1.5 fluid ounce) jigger peach schnapps,1 tablespoon sugar,1/2 cup champagne,1/2 (16 ounce) package frozen sliced peaches,1/2 cup fuzzy navel mix,1 cup ice,,,,,,,,
['Holiday Mimosa'],1/4 cup orange liqueur (such as Grand Marnier®),2 tablespoons white sugar,1 cup orange juice,"1 (750 milliliter) bottle brut champagne, chilled",,,,,,,,,,,
