entry_id,drink_name,ingredient,measurement
201,Froen Summer Slush, gin,2 cups
202,The REAL Long Island Iced Tea, vodka,1/2 fluid ounce
203,The REAL Long Island Iced Tea, rum,1/2 fluid ounce
204,The REAL Long Island Iced Tea, gin,1/2 fluid ounce
205,The REAL Long Island Iced Tea, tequila,1/2 fluid ounce
206,The REAL Long Island Iced Tea, triple sec (orange-flavored liqueur),1/2 fluid ounce
207,The REAL Long Island Iced Tea, sweet and sour mix,1 fluid ounce
208,The REAL Long Island Iced Tea," cola, or to taste",1 fluid ounce
209,The REAL Long Island Iced Tea, lemon slice,1
210,Gin and Tonic, cubes ice,4
211,Gin and Tonic, gin,2 fluid ounces
212,Gin and Tonic, tonic water,4 fluid ounces
213,Gin and Tonic, fresh lime juice,1 tablespoon
214,Gin and Tonic, lime wedge,1
215,Earl Grey Martini, Earl Grey tea leaves,1 teaspoon
216,Earl Grey Martini, gin,2 (1.5 fluid ounce) jiggers
217,Earl Grey Martini,"white sugar, for rimming",N/A
218,Earl Grey Martini, wedge lemon,1
219,Earl Grey Martini, fresh lemon juice,1 (1.5 fluid ounce) jigger
220,Earl Grey Martini, simple syrup,2 fluid ounces
221,Long Island Iced Tea, vodka,1 (1.5 fluid ounce) jigger
222,Long Island Iced Tea, gin,1 (1.5 fluid ounce) jigger
223,Long Island Iced Tea, rum,1 (1.5 fluid ounce) jigger
224,Long Island Iced Tea, triple sec liqueur,1 (1.5 fluid ounce) jigger
225,Long Island Iced Tea, tequila,1 teaspoon
226,Long Island Iced Tea, orange juice,2 teaspoons
227,Long Island Iced Tea, cola-flavored carbonated beverage,2 fluid ounces
228,Long Island Iced Tea, wedge lemon,1
229,Blue Motorcycle, ice cubes,2 cups
230,Blue Motorcycle, vodka,1/2 (1.5 fluid ounce) jigger
231,Blue Motorcycle, tequila,1/2 (1.5 fluid ounce) jigger
232,Blue Motorcycle, rum,1/2 (1.5 fluid ounce) jigger
233,Blue Motorcycle, gin,1/2 (1.5 fluid ounce) jigger
234,Blue Motorcycle, Blue Curacao,1/2 (1.5 fluid ounce) jigger
235,Blue Motorcycle, sour mix,1 dash
236,Blue Motorcycle, lemon-lime flavored carbonated beverage,2 fluid ounces
237,Blue Motorcycle, slice fresh lemon,1
238,Pink Panties, frozen pink lemonade concentrate,1 (12 fluid ounce) can
239,Pink Panties, gin,12 fluid ounces
240,Pink Panties, vanilla ice cream,1/2 cup
241,Pink Panties, frozen strawberries,1/2 cup
242,Pink Panties, crushed ice,1 cup
243,Baltimore Zoo,ice cubes,N/A
244,Baltimore Zoo, silver tequila,1/2 fluid ounce
245,Baltimore Zoo, gin,1/2 fluid ounce
246,Baltimore Zoo, white rum,1/2 fluid ounce
247,Baltimore Zoo, vodka,1/2 fluid ounce
248,Baltimore Zoo, triple sec,1/2 fluid ounce
249,Baltimore Zoo, orange juice,3 fluid ounces
250,Baltimore Zoo, grenadine syrup,3 fluid ounces
251,Baltimore Zoo, beer (such as Budweiser®),4 fluid ounces
252,Genes Long Island Iced Tea, vodka,1 fluid ounce
253,Genes Long Island Iced Tea, gin,1 fluid ounce
254,Genes Long Island Iced Tea, triple sec liqueur,1 fluid ounce
255,Genes Long Island Iced Tea, rum,1 fluid ounce
