,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,Unnamed: 0
398,"2 cups Plymouth gin, divided","4 tablespoons dry Sherry (such as La Ina or Tio Pepe), divided",,,,,,,,,,,"8 teaspoons pepper jelly, divided",,,,,"4 teaspoons orange bitters (such as Regans' No. 6), divided",Ice cubes,8 Tomolives*,*Tiny pickled green tomatoes; available at specialty foods stores and online from oldsouth.com and igourmet,,,,Pepper Martinis
399,1 1/2 ounces bourbon,1 dash orange curaçao,,,,,,,,,,,5 drops angostura bitters,,,,,club soda,,,,,,,Laddie's Sub-Bourbon
400,"8 tablespoons ginger syrup , divided","16 drained canned lychees in syrup (8 tablespoons syrup reserved), divided",,,,,,,,,,,"4 limes, each cut into 8 wedges, divided",,,,,"16 teaspoons Velvet Falernum liqueur,* divided","2 cups cachaça,* divided","8 cups ice cubes, divided","*Velvet Falernum, a liqueur from Barbados, and cachaça, a Brazilian liquor made from sugarcane juice, are available at some liquor stores.",,,,Ginger and Lychee Caipirinhas
401,1/2 cup vodka,1/4 cup thawed frozen apple juice concentrate,,,,,,,,,,,4 teaspoons Calvados,,,,,4 teaspoons fresh lemon juice,,,,,,,The Gold Rush
402,2 large oranges,1/2 cup sugar,,,,,,,,,,,1/4 teaspoon ground cinnamon,,,,,"3 cups vodka (preferably distilled from grapes, such as Cîroc)","2 cups Concord grapes or seedless red grapes, plus 18 for garnish",1 1/4 cups Concord grape juice,1 750-ml bottle chilled Champagne,,,,Concord Grape and Champagne Cocktails
403,2 ounces applejack,3/4 ounce fresh lemon juice,,,,,,,,,,,1/2 ounce homemade grenadine (3/4 ounce if using bonded applejack),,,,,"Thinly sliced apple, for garnish (optional)",,,,,,,Jack Rose
404,2 ounces Gosling's or Myers's dark rum,5 ounces ginger beer,,,,,,,,,,,Lime wedge,,,,,,,,,,,,Dark and Stormy
405,1 ounce gin,1/2 ounce Cointreau,,,,,,,,,,,1/2 ounce Lillet Blonde,,,,,3/4 ounce fresh lemon juice,Dash of Absente,,,,,,Corpse Reviver
406,3 ounces (6 tablespoons) chilled ginger beer,1 1/2 ounces (3 tablespoons) gin,,,,,,,,,,,1 tablespoon fresh orange juice,,,,,1 teaspoon fresh lemon juice,1/2 teaspoon Grand Marnier or other orange-flavored liqueur,Garnish: an orange slice,,,,,"Ginger, Gin, and Juice"
407,2 ounces (1/4 cup) fresh grapefruit juice,1 1/2 ounces (3 tablespoons) rye whiskey,,,,,,,,,,,1/2 teaspoon pure maple syrup,,,,,1 1/2 teaspoons grenadine,a cocktail shaker with cocktail strainer,,,,,,Easterner
408,"1 cup aquavit, chilled","1 quart tomato or tomato-vegetable juice such as V8, chilled",,,,,,,,,,,3 tablespoons fresh lemon juice,,,,,2 tablespoons Worcestershire sauce,2 tablespoons drained bottled horseradish,1/2 teaspoon hot sauce such as Tabasco,1/4 teaspoon black pepper,Garnish: lemon slices; small celery ribs,,,Aquavit Bloody Marys
409,Crushed ice,2 ounces (1/4 cup) Aperol (bitter orange aperitif),,,,,,,,,,,1 1/2 ounces (3 tablespoons) white rum,,,,,1 teaspoon fresh lemon juice,2 dashes orange bitters,1/2 to 1 teaspoon sugar,Garnish: 1 (1 1/2-inch-long) lemon twist,,,,Bitter Crush
410,8 ounces (1 cup) distilled gin,8 ounces (1 cup) Benedictine liqueur,,,,,,,,,,,3 ounces (1/3 cup) kirsch or other cherry-flavored brandy,,,,,1 1/2 ounces (3 tablespoons) grenadine,1/2 cup superfine granulated sugar,"1 liter club soda, chilled",Garnish: maraschino cherries,,,,Singapore Slings
411,"4 large beefsteak tomatoes, quartered","1/2 serrano chile, roughly chopped",Ice,16 ounces tomato water,6 ounces Grey Goose Le Citron (or any citrus vodka),4 cherry tomatoes for garnish,,,,,,,"1/4 red onion, roughly chopped",,,,,"3-inch piece of lemongrass, tough outer leaves removed and roughly chopped",small pinch sugar,large pinch salt,1/2 lime,1/2 lemon,1/2 orange,2 18-inch-square pieces cheesecloth,Tomato Water Bloody Mary
412,2 ounces vodka,1 teaspoon Cointreau,,,,,,,,,,,1 teaspoon apricot liqueur,,,,,1 tablespoon plus 1 teaspoon fresh lime juice,,,,,,,Mike Romanoff
413,"2 large eggs, separated",2 1/2 tablespoons sugar,,,,,,,,,,,1 cup plus 1 tablespoon Jamaican rum,,,,,1 1/2 teaspoons vanilla extract,Small pinch ground allspice,Small pinch ground cloves,Large pinch ground cinnamon,2 2/3 cups whole milk,1 teaspoon freshly grated whole nutmeg or ground nutmeg,,Tom and Jerry
414,"1 1/2 pounds rock candy (see tip, below)",1 1/2 pounds dried pears and/or apricots,,,,,,,,,,,2 liters vodka,,,,,,,,,,,,Apricot Pear Cordials
415,3/4 ounces Cointreau,3/4 ounces brandy,,,,,,,,,,,3/4 ounces lemon juice,,,,,,,,,,,,The Sidecar
416,2 1/2 ounces gin,Dash dry vermouth,,,,,,,,,,,3 or 4 ice cubes,,,,,Pickled pearl onion,,,,,,,Gibson
417,1 1/2 ounces Ron Rico rum,1 1/2 ounces pineapple juice,,,,,,,,,,,2 ounces Veuve Clicquot Champagne,,,,,"Fresh pineapple wedge, for garnish",,,,,,,Clicquot Rico
418,"Cranberry juice, chilled",Ice cubes,,,,,,,,,,,1 vanilla bean,,,,,Sparkling wine,Garnish (optional): sugar and halved vanilla beans,,,,,,Cranberry and Vanilla-Bean Mimosas
419,Ice cubes,2 teaspoons amaretto,,,,,,,,,,,"Champagne, Prosecco, or Cava",,,,,,,,,,,,Champagne Cocktails
420,4 cups cherry cider or cherry juice,"2 cinnamon sticks, broken in half",,,,,,,,,,,15 whole cloves,,,,,"2 tablespoons sugar, divided",1/3 cup chilled whipping cream,5 teaspoons kirsch (clear cherry brandy),1 2-ounce piece semisweet chocolate (optional),,,,Spiced Cherry Cider with Kirsch Cream
421,2 or 3 ice cubes,3 ounces vodka,,,,,,,,,,,Ginger beer,,,,,1 teaspoon lime juice,Slice of lime,,,,,,Moscow Mule
422,1 rosemary sprig,1 thyme sprig,,,,,,,,,,,Dash of dry vermouth,,,,,1/4 cup Plymouth gin,"Garnish: green Martini olive, rosemary sprig",,,,,,Plymouth Rock and Roll
423,"1 bunch fresh mint, trimmed (about 1 cup)",1/2 cup sugar,,,,,,,,,,,1 3/4 cups light rum,,,,,1 1/4 cups fresh lime juice,"3/4 cup frozen cranberry juice cocktail concentrate, thawed","2 10-ounce bottles sparkling water, chilled",,,,,Cranberry Mojitos
424,1/4 cup vodka,2 tablespoons ginger beer,,,,,,,,,,,1 1/2 tablespoons thawed cranberry juice cocktail concentrate,,,,,1 1/2 teaspoons lemon juice,1/8 teaspoon ground ginger,,,,,,"Cranberry, Gingerly"
425,3 blood oranges (about 1 pound),1 1/2 cups gin,,,,,,,,,,,2 tablespoons sugar,,,,,1/2 teaspoon angostura bitters,2 750-ml bottles chilled Champagne,,,,,,Blood Orange French 75
426,1 ounce orange-flavored vodka (2 1/2 cups),3/4 ounce red wine (1 3/4 cups plus 2 tablespoons),,,,,,,,,,,1/2 ounce triple sec (1 1/4 cups),,,,,1/2 ounce orange juice (1 1/4 cups),1/4 ounce fresh lime juice (1/2 cup plus 2 tablespoons),,,,,,The Left Bank
427,1 lime,1 teaspoon sugar cane syrup (or 2 teaspoons raw sugar),,,,,,,,,,,6 ounces white (un-aged) rhum agricole (see note),,,,,Crushed ice,,,,,,,Ti Punch
428,3 oz (6 tablespoons) gin,1 oz (2 tablespoons) dry vermouth,,,,,,,,,,,1 teaspoon Dubonnet Rouge,,,,,1/2 teaspoon anisette or other anise-flavored liqueur,Garnish: lemon twists,,,,,,Fever Cocktails
429,"4 strawberries, halved, plus 1/2 cup sliced strawberries","1 kiwi, peeled, cut into 8 wedges",,,,,,,,,,,4 4-inch-long lemongrass skewers,,,,,5 tablespoons light rum,3 tablespoons sour watermelon liqueur (such as Pucker)*,2 tablespoons sugar,2 tablespoons fresh lime juice,"3 cups 3/4-inch cubes seedless watermelon, frozen at least 1 hour",,,Frozen Watermelon Daiquiris
430,"2 large seedless cucumbers (usually plastic-wrapped; 2 lb total), peeled and coarsely chopped",1/2 cup chopped celery,,,,,,,,,,,1/3 cup fresh lemon juice,,,,,1 tablespoon drained bottled horseradish,1 teaspoon salt,1/2 teaspoon Worcestershire sauce,1/4 teaspoon black pepper,1/8 teaspoon green Tabasco sauce,3/4 cup vodka (6 fluid ounces),"Garnish: 6 small pale inner celery ribs with leaves, halved lengthwise if desired",Jealous Marys
431,4 candied rose petals,1 1/2 teaspoons Shakers Rose Vodka,,,,,,,,,,,"2/3 cup rosé Champagne, chilled",,,,,,,,,,,,Rosé Royale
432,1/2 teaspoon Worcestershire sauce,1/8 teaspoon celery salt,,,,,,,,,,,Ice cubes,,,,,1/4 cup vodka,3/4 cup chilled double-rich double-strength canned beef broth,Lime wedge,,,,,Bull Shot
433,3 tablespoons vodka,1 1/2 tablespoons dry vermouth,,,,,,,,,,,1 1/2 tablespoons Campari,,,,,,,,,,,,Anno 1960
434,2 teaspoons Mandarine Napoléon (tangerine) liqueur or Cointreau,"6 oz demi-sec Champagne or sparkling wine, chilled",,,,,,,,,,,Garnish: thin slices of kumquat,,,,,,,,,,,,Citrus Champagne Cocktail
435,1 cup pomegranate juice,1 tablespoon sugar,,,,,,,,,,,1 1/4-inch-thick slice fresh ginger,,,,,4 tablespoons fresh orange juice,1 teaspoon Cointreau or other orange liqueur,"1 750-ml bottle brut Champagne, well chilled",,,,,Pomegranate-Ginger Champagne Cocktail
436,1 1/4 cups thinly sliced kumquats,1/3 cup Grand Marnier or other orange liqueur,,,,,,,,,,,1/4 cup sugar,,,,,"1 750-ml bottle brut Champagne, well chilled",,,,,,,Kumquat Champagne Cocktail
437,1 teaspoon Poire William or other pear eau-de-vie,"6 oz demi-sec Champagne or sparkling wine, chilled",,,,,,,,,,,Garnish: thin slices of pear,,,,,,,,,,,,Pear Champagne Cocktail
438,1 1/2 ounces vodka,3 ounces orange juice,,,,,,,,,,,3 or 4 ice cubes,,,,,Dash Angostura bitters,,,,,,,Screwdriver
439,3 or 4 ice cubes,2 ounces dry vermouth,,,,,,,,,,,2 tablespoons rasberry syrup,,,,,Club soda,Slice of orange,,,,,,Vermouth Cooler
440,1 1/2 ounces whiskey,1 tablespoon lemon juice,,,,,,,,,,,1/2 teaspoon superfine sugar,,,,,2 or 3 sprigs fresh mint,1/2 cup crushed ice,,,,,,Dinah
441,1 or 1 1/2 ounces gin,1/2 ounce white crème de menthe,,,,,,,,,,,1/2 cup crushed ice,,,,,,,,,,,,Ginger Stinger or White Way
442,1 1/2 ounces light rum,3/4 ounce sweet vermouth,,,,,,,,,,,2 dashes curaçao,,,,,3 or 4 ice cubes,Twist lemon peel,,,,,,Fair and Warmer
443,1 ounce gin,1/2 ounce sweet vermouth,,,,,,,,,,,1 teaspoon curaçao,,,,,1/2 ounce orange juice,3 or 4 ice cubes,,,,,,Damn the Weather I
444,4 ounces chilled pink champagne,4 ounces chilled orange juice,,,,,,,,,,,Dash crème de cassis,,,,,,,,,,,,Pink California Sunshine
445,3 or 4 ice cubes,2 tablespoons lemon or lime juice,,,,,,,,,,,Large twist lemon or lime peel,,,,,2-3 ounces gin,Ginger ale,,,,,,Gin Buck
446,1 1/2 ounces gin,1/2 ounce dry vermouth,,,,,,,,,,,1/2 ounce sweet vermouth,,,,,3 or 4 ice cubes,1 olive,,,,,,Sweet Martini
447,1 ounce green crème de menthe,1 ounce Kahlúa,,,,,,,,,,,1 ounce light cream,,,,,1/2 cup crushed ice,,,,,,,Mexican Grasshopper
448,1 1/2 ounces gin,1/2 ounce dry vermouth,,,,,,,,,,,2 tablespoons orange juice,,,,,3 or 4 ice cubes,,,,,,,Dry Bronx
449,1 1/2 ounces sweet vermouth,1 ounce light rum,,,,,,,,,,,1 1/2 tablespoons lime juice,,,,,Dash Angostura bitters,2 or 3 ice cubes,,,,,,Fig Leaf
450,1 1/2 ounces gin,3/4 ounce Pernod,,,,,,,,,,,1 teaspoon grenadine,,,,,3 or 4 ice cubes,,,,,,,Maiden's Blush No.ii
451,1 large orange,20 cloves (approx.),,,,,,,,,,,2 teaspoons honey,,,,,1 quart hard cider,6 ounces brandy or applejack,,,,,,Cider Bishop
452,1 1/2 ounces gin,1/2 ounce dry vermouth,,,,,,,,,,,2 dashes grenadine,,,,,3 or 4 ice cubes,Twist of lemon peel,,,,,,Roslyn
453,1 1/2 ounces gin,1/2 ounce dry vermouth,,,,,,,,,,,1/4 ounce Bénédictine,,,,,3 or 4 ice cubes,,,,,,,Queen Elizabeth
454,1 1/2 ounces applejack,3/4 ounce light rum,,,,,,,,,,,Dash sugar syrup,,,,,3 or 4 ice cubes,,,,,,,Liberty
455,1 cup crushed ice,2 ounces gin,,,,,,,,,,,3 tablespoons lime juice,,,,,1/2 teaspoon superfine sugar,1 tablespoon grenadine or rasberry syrup,2 ounces club soda or ginger ale,,,,,Floradora
456,1 ounce blended or Scotch whiskey,1 ounce brandy,,,,,,,,,,,1 dash Pernod,,,,,2 dashes curaçao,2 dashes Angostura bitters,3 dashes sugar syrup,1 or 2 ice cubes,Chilled club soda,Superfine sugar,,Morning Glory
457,2 ounces gin,1 ounce curaçao,,,,,,,,,,,1 ounce orange juice,,,,,3 or 4 ice cubes,,,,,,,Hawaiian
458,Cut lemon,Superfine sugar,,,,,,,,,,,RInd of a lemon or orange cut in a spiral,,,,,Maraschino cherry,3 or 4 ice cubes,Dash Angostura bitters,1 teaspoon maraschino liqueur,1 teaspoon lemon juice,"1 1/2 to 3 ounces brandy, to taste",Slice of orange (optional),Brandy Crusta
459,1 1/2 ounces gin,1/2 ounce dry vermouth,,,,,,,,,,,2 dashes Angostura bitters,,,,,2 dashes Pernod,3 or 4 ice cubes,Thin orange slice,,,,,Du Barry
460,1 ice cube,3/4 ounce dry gin,,,,,,,,,,,6 ounces chilled champagne,,,,,,,,,,,,Queen's Peg
461,1 1/2 ounces sherry,1 1/2 ounces sweet vermouth,,,,,,,,,,,3 or 4 ice cubes,,,,,Dash Angostura bitters,,,,,,,Recipe: Bamboo
462,1 1/2 ounces gin,1 teaspoon honey,,,,,,,,,,,1 tablespoon lemon juice,,,,,3 or 4 ice cubes,,,,,,,Bee's Knees
463,2 ounces dry sherry,1 ounce sweet vermouth,,,,,,,,,,,1 dash orange bitters,,,,,3 or 4 ice cubes,,,,,,,Adonis
464,3/4 ounces Irish whiskey,3/4 ounce Chartreuse,,,,,,,,,,,3/4 ounce sweet vermouth,,,,,3 or 4 ice cubes,,,,,,,Tipperary
465,Crushed ice,2 ounces white crème de menthe,,,,,,,,,,,1/2 ounce brandy,,,,,,,,,,,,Diana
466,1 large orange,20 cloves (approx.),,,,,,,,,,,2 tablespoons sugar (brown if you prefer),,,,,1 quart red Bordeaux,6 ounces brandy,,,,,,Archbishop
467,1 1/2 ounces gin,1/2 ounce dry vermouth,,,,,,,,,,,2 dashes Angostura bitters,,,,,3 or 4 ice cubes,Lemon peel,Maraschino cherry,,,,,Blenton
468,1 ice cube,1/2 lime or 1/4 lemon,,,,,,,,,,,1 1/2 ounces gin,,,,,Chilled club soda,4 dashes grenadine,,,,,,Savoy Hotel Rickey
469,1 ice cube,1/2 lime or 1/4 lemon,,,,,,,,,,,1 1/2 ounces gin,,,,,Chilled club soda,2 dashes grenadine,1 slice pineapple,,,,,Hugo Rickey
470,3 ounces gin,1 tablespoon superfine sugar,,,,,,,,,,,2 tablespoons lemon juice,,,,,1 tablespoon lime juice,2 teaspoons heavy cream,3 or 4 ice cubes,Club soda,,,,Cream Fizz
471,3 ounces Holland gin,1 tablespoon superfine sugar,,,,,,,,,,,2 tablespoons lemon juice,,,,,1 tablespoon lime juice,3 or 4 ice cubes,Club soda,,,,,Holland Gin Fizz
472,1 1/2 ounces gin,1/2 ounce Lillet,,,,,,,,,,,Dash Angostura bitters,,,,,3 or 4 ice cubes,Twist orange peel,,,,,,Great Secret
473,3 or 4 ice cubes,2 to 3 ounces gin,,,,,,,,,,,1 tablespoon pineapple juice,,,,,Chilled club soda,Pineapple stick,,,,,,Zenith
474,3 or 4 ice cubes,2 to 3 ounces Scotch whiskey,,,,,,,,,,,2 dashes Angostura bitters,,,,,2 tablespoons lemon juice,1 teaspoon superfine sugar,Ginger ale,,,,,Highland Cooler
475,Crushed ice,1/2 teaspoon lemon juice,,,,,,,,,,,1/2 teaspoon curaçao,,,,,Thin slice orange,Small pineapple stick,4 ounces chilled champagne,,,,,Champagne Cobbler
476,1 1/2 ounces whiskey,3/4 ounce sweet vermouth,,,,,,,,,,,1/2 teaspoon Bénédictine,,,,,Dash Angostura bitters,3 or 4 ice cubes,Twist lemon peel,,,,,Preakness
477,2 ounces light rum,"1/2 peach, fresh, peeled or canned",,,,,,,,,,,1 tablespoon lime juice,,,,,1 teaspoon superfine sugar,1 cup crushed ice,,,,,,Peach Daiquiri
478,1 1/2 ounces light rum,1/2 ounce passion-fruit juice,,,,,,,,,,,2 tablespoons lime juice,,,,,1 teaspoon superfine sugar,3 or 4 ice cubes,,,,,,Passion Daiquiri
479,3/4 ounce green crème de menthe,3/4 ounce white crème de cacao,,,,,,,,,,,3/4 ounce vodka,,,,,3 or 4 ice cubes,,,,,,,Vodka Grasshopper
480,1/2 ounce pineapple juice,1/2 ounce orange juice,,,,,,,,,,,1/2 ounce lemon juice,,,,,1 1/2 ounces bourbon,Dash grenadine,Dash Angostura bitters,1/2 cup crushed ice,,,,Alexander Young
481,"36 pitted large brine-cured green olives, chilled",12 short swizzle sticks or toothpicks,,,,,,,,,,,6 cups ice-cold vodka,,,,,Dry vermouth,,,,,,,Three-Olive Martinis
482,1 1/2 ounces brandy,1 1/2 ounces port,,,,,,,,,,,1 dash curaçao,,,,,2 dashes Angostura bitters,1 egg yolk,1 teaspoon sugar,3 or 4 ice cubes,nutmeg,,,Betsy Ross
483,Cut lime,Salt,,,,,,,,,,,2 ounces tequila,,,,,1/2 ounce Cointreau or Triple Sec,1 tablespoon lime juice,3 or 4 ice cubes,,,,,Margarita I
484,1 or 1 1/2 ounces brandy,1 or 1 1/2 ounces white crème de menthe,,,,,,,,,,,1/2 cup crushed ice,,,,,,,,,,,,Stinger
485,4 ounces grapefruit juice,2 ounces vodka,,,,,,,,,,,Cut lemon,,,,,Salt,2 or 3 ice cubes,,,,,,Salty Dog
486,2 or 3 ice cubes,1 1/2 or 2 ounces gin,,,,,,,,,,,3 ounces chilled beef bouillon,,,,,,,,,,,,Bullshot
487,"Any of the fruit brandies (such as cherry or blackberry); rum, sherry or whiskey may be substituted for the brandy in this recipe.",3 ounces brandy,,,,,,,,,,,1 whole egg,,,,,1 teaspoon superfine sugar,2 teaspoons heavy cream (optional),1/2 cup crushed ice,Nutmeg,,,,Brandy Flip
488,1 1/2 ounces apricot brandy,1 1/2 ounces curaçao,,,,,,,,,,,3 tablespoons lime juice,,,,,3 or 4 ice cubes,Twist of lime peel,,,,,,After Dinner
489,2 ounces rye whiskey,1/2 teaspoon superfine sugar,,,,,,,,,,,Dash grenadine,,,,,1 1/2 tablespoons lime juice,3 or 4 ice cubes,Twist orange peel,,,,,New York
490,Crushed ice,2 ounces Sambuca,,,,,,,,,,,3 coffee beans,,,,,,,,,,,,Roman Snowball
491,1 ounce gin,1 ounce Scotch whiskey,,,,,,,,,,,1 ounce crème de cacao,,,,,1 ounce cream,1 tablespoon lemon juice,3 or 4 ice cubes,,,,,Barbary Coast
492,1 1/2 ounces applejack,1/2 ounce grenadine,,,,,,,,,,,1 1/2 tablespoons lime juice,,,,,3 or 4 ice cube,,,,,,,Jack Rosé I
493,2 ounces gin,8 ounces chilled beer or stout,,,,,,,,,,,,,,,,,,,,,,,Dog's Nose
494,3/4 ounce Scotch whisky,3/4 ounce dry vermouth,,,,,,,,,,,3/4 ounce sweet vermouth,,,,,3 or 4 ice cubes,,,,,,,Whisper
495,3 ounces Scotch whisky,1/2 ounce sweet vermouth,,,,,,,,,,,2 dashes Angostura bitters,,,,,5 or 6 ice cubes,Twist orange or lemon peel,,,,,,Dry Rob Roy
496,1 1/2 ounces gin,1/2 ounce dry vermouth,,,,,,,,,,,1/2 ounce sweet vermouth,,,,,3 or 4 ice cubes,Orange peel,,,,,,Perfect Martini
497,"1 cup (about 3/4 of 12-ounce can) frozen pink lemonade concentrate, thawed",1/2 cup canned cream of coconut (such as Coco-Lopez),,,,,,,,,,,1/2 cup white rum,,,,,1 tablespoon grenadine,2 ice cubes,Garnish: maraschino cherries,,,,,Pink Slipper
498,2 ounces (2 ponies) light tequila,1/3 cup chilled cranberry juice,,,,,,,,,,,1/4 cup chilled apple juice,,,,,Chilled club soda or seltzer water,,,,,,,Pink Pony
499,Ice cubes,1 cup gin,,,,,,,,,,,1 tablespoon dry vermouth,,,,,4 large pimento-stuffed green olives,,,,,,,Martini III
500,1 ounce gin,1/2 ounce dry vermouth,,,,,,,,,,,1/2 ounce sweet vermouth,,,,,1/2 teaspoon curaçao,2 tablespoons orange juice,3 or 4 ice cubes,,,,,Tago
501,1 ounce gin,1/2 ounce dry vermouth,,,,,,,,,,,1/2 ounce sweet vermouth,,,,,2 dashes Angostura bitters,3 or 4 ice cubes,,,,,,Farmer's
502,1 1/2 ounces gin,1/2 ounce sweet vermouth,,,,,,,,,,,2 dashes Pernod,,,,,3 or 4 ice cubes,Cherry,,,,,,Jeyplak
503,1 1/2 ounces gin,1/2 ounce sweet vermouth,,,,,,,,,,,1 tablespoon lemon juice,,,,,1/4 teaspoon superfine sugar,3 or 4 ice cubes,,,,,,Bronx River
504,1 cup ice cubes,1/2 cup applejack or apple brandy,,,,,,,,,,,1/4 cup sweet and sour mix,,,,,2 tablespoons fresh lime juice,1 teaspoon sugar,1 teaspoon grenadine syrup,"1 thin round lime slice, cut crosswise in half",,,,Jack Rosé II
505,1/4 cup pear brandy,2 teaspoons lemon juice,,,,,,,,,,,Ice cubes,,,,,1 cup ginger ale,,,,,,,Pear Zinger
506,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,,,,,,,,,,,3/4 to 1 ounce peach brandy,,,,,3/4 ounce orange juice,3 or 4 ice cubes,,,,,,Peter Pan
507,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,,,,,,,,,,,3/4 to 1 ounce apricot brandy,,,,,Dash lemon juice,3 or 4 ice cubes,,,,,,Favortie
508,1 cup aquavit,4 cups tomato vegetable juice,,,,,,,,,,,2 tablespoons bottled horseradish,,,,,2 tablespoons Worcestershire sauce,3 tablespoons fresh lemon juice,1/2 teaspoon Tabasco,1/4 teaspoon pepper,6 small celery ribs and lemon slices for garnish,,,Aquavit Bloody Mary
509,1 1/2 ounces gin,2 dashes grenadine,,,,,,,,,,,Dash Angostura bitters,,,,,1 teaspoon coconut cream,Dash curaçao,1/2 cup crushed ice,3 or 4 ice cubes,,,,Commercial Club Gin Old Fashioned
510,1 1/2 ounces gin,3/4 ounce grapefruit juice,,,,,,,,,,,1 teaspoon maraschino,,,,,3 or 4 ice cubes,,,,,,,Southern Bride
511,1 1/2 ounces gin,1/2 ounce grapefruit juice,,,,,,,,,,,1 teaspoon maraschino,,,,,3 or 4 ice cubes,,,,,,,Colonial or Grapefruit
512,1 1/2 tablespoons fresh lemon juice,1 1/2 teaspoons superfine sugar,,,,,,,,,,,1 1/2 ounces (1 jigger) gin,,,,,club soda or seltzer water,1 lemon slice for garnish,,,,,,Tom Collins
513,1 1/2 ounces (1 jigger) bourbon or other whiskey,1 tablespoon sweet vermouth,,,,,,,,,,,a dash of Angostura bitters,,,,,1 lemon twist for garnish,Ice cubes,,,,,,Manhattan II
514,1 1/2 ounces (1 jigger) Scotch,1 1/2 ounces (1 jigger) sweet or dry vermouth,,,,,,,,,,,Dash of Angostura bitters,,,,,1 lemon twist for garnish,Ice cubes,,,,,,Rob Roy II
515,1 1/2 ounces gin,3/4 ounce Triple Sec,,,,,,,,,,,1 tablespoon lemon juice,,,,,1/2 cup crushed ice,,,,,,,Chelsea Sidecar
516,2 slices fresh pineapple,1 ounce gin,,,,,,,,,,,1 ounce sweet vermouth,,,,,2 tablespoons lime juice,3 or 4 ice cubes,,,,,,Chappelle
517,2 to 3 ounces gin,2 tablespoons lemon juice,,,,,,,,,,,1 tablespoon raspberry syrup,,,,,1 egg white,3 or 4 ice cubes,,,,,,Chanticleer
518,2 ounces gin,1/2 teaspoon maraschino,,,,,,,,,,,2 dashes orange bitters,,,,,2 dashes lemon juice,3 or 4 ice cubes,,,,,,Casino
519,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,,,,,,,,,,,3/4 to 1 ounce peach brandy,,,,,Dash lime juice,3 or 4 ice cubes,Maraschino cherry,,,,,Judgette
520,4 mint sprigs,"1 tablespoon superfine sugar, or to taste",,,,,,,,,,,2/3 cup fresh grapefruit juice,,,,,"1 1/2 tablespoons fresh lemon or lime juice, or to taste","3 ounces light rum (6 tablespoons), or to taste",chilled club soda or seltzer water,Angostura bitters to taste,Garnish: grapefruit wedges and mint sprigs,,,Grapefruit Rum Cooler
521,1 ounce gin,1/2 ounce dry vermouth,,,,,,,,,,,1/2 ounce sweet vermouth,,,,,Sprig of mint,3 or 4 ice cubes,,,,,,Cooperstown
522,2 ounces gin,2 tablespoons lemon juice,,,,,,,,,,,1 teaspoon superfine sugar,,,,,1 egg,3 or 4 ice cubes,Club soda,,,,,Royal Fizz
523,1 ounce dry gin,1 ounce prunelle,,,,,,,,,,,2 dashes dry vermouth,,,,,3 or 4 ice cubes,,,,,,,Elk
524,1 1/2 ounces gin,1/2 ounce sweet vermouth,,,,,,,,,,,Orange slice,,,,,3 or 4 ice cubes,,,,,,,Homestead
525,2 to 3 ounces gin,4 dashes Angostura Bitters,,,,,,,,,,,4 dashes curaçao,,,,,3 or 4 ice cubes,Twist lemon peel,Maraschino cherry,,,,,Bluebird
526,6 lime slices,Coarse salt,,,,,,,,,,,1 1/4 cups Margarita mix,,,,,3/4 cup tequila,1/4 cup blue curaçao,"1/2 lime, quartered",4 cups ice,,,,Turquoise Margarita
527,1 1/2 ounces gin,3/4 ounce Dubonnet,,,,,,,,,,,1 tablespoon lime juice,,,,,3 or 4 ice cubes,,,,,,,Chocolate Soldier
528,2 fresh mint sprigs,2 teaspoons sugar,,,,,,,,,,,2 tablespoons fresh lemon juice,,,,,1 1/2 ounces (1 jigger) light rum,Chilled club soda or seltzer water,Garnish: fresh mint sprig and lemon slices,,,,,Mojito II
529,2 1/2-pint baskets fresh raspberries,2 tablespoons sugar,,,,,,,,,,,1/2 cup plus 2 tablespoons raspberry liqueur,,,,,1/4 cup cognac or other brandy,8 sugar cubes,1 750-ml bottled chilled brut champagne,Fresh raspberries,Lemon peel strips,,,Raspberry Champagne Cocktail
530,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,,,,,,,,,,,3/4 to 1 ounce crème de cassis,,,,,3 or 4 ice cubes,,,,,,,Parisian or Cocktail Maison
531,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,,,,,,,,,,,3/4 to 1 ounce Pernod,,,,,1 teaspoon white crème de menthe,3 or 4 ice cubes,Mint leaves,,,,,Knockout
532,3/4 to 1 ounce gin,3/4 to 1 ounce dry vermouth,,,,,,,,,,,3/4 to 1 ounce light rum,,,,,Dash lemon juice,3 or 4 ice cubes,,,,,,Brown
533,1 lemon,2 jiggers (3 ounces) gin,,,,,,,,,,,Chilled ginger ale,,,,,,,,,,,,Horse's Neck III
534,2/3 cup tequila,3 cups fresh orange juice,,,,,,,,,,,"1 tablespoon grenadine, or to taste",,,,,6 orange slices for garnish,,,,,,,Tequila Sunrise
