,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,Unnamed: 0
56,Custard Base:,4 egg yolks,1 pinch freshly grated nutmeg,,,,,,,,,,1/3 cup white sugar,,,,,2 cups whole milk,1 cup heavy cream,3/4 teaspoon freshly grated nutmeg,"2 fluid ounces bourbon whiskey, or more to taste",Meringue:,4 egg whites,1 tablespoon white sugar,"[""Chef John's Homemade Eggnog""]"
57,6 eggs,1 1/4 cups white sugar,,,,,,,,,,,1 quart bourbon,,,,,1 cup rum,2 quarts half-and-half cream,"2 teaspoons ground nutmeg, or amount to taste",1 pint heavy whipping cream,,,,"[""Don's Friend Tonja's Cousin Toni's Boyfriend's Grandmother's Eggnog""]"
58,"12 eggs, separated",4 1/2 cups white sugar,,,,,,,,,,,1 (750 milliliter) bottle bourbon,,,,,1/2 (750 milliliter) bottle dark rum,1 1/2 quarts whipping cream,2 cups half-and-half (or whole milk),1 1/2 cups brandy,"1 tablespoon ground nutmeg, for garnish",,,"[""Betty's Famous Eggnog""]"
59,3/4 cup hot water,1 tablespoon honey,,,,,,,,,,,2 fluid ounces bourbon whiskey,,,,,3/4 cup hot water,1 twist lemon peel,,,,,,['Hot Toddy Cocktail']
60,2 fluid ounces bourbon,1/2 fluid ounce sweet vermouth,,,,,,,,,,,1 maraschino cherry (optional),,,,,1/2 cup ice,,,,,,,['Manhattan']
61,6 ice cubes,2 fluid ounces bourbon,,,,,,,,,,,1 fluid ounce maple syrup,,,,,1 fluid ounce brandy-based orange liqueur (such as Grand Marnier®),"1 clementine, juiced and peel cut into 1x1/4-inch strips","1/2 lemon, juiced",,,,,['Autumn Sunshine Cocktail']
62,1 cup frozen cranberry juice concentrate,1 (6 ounce) can frozen lemonade concentrate,,,,,,,,,,,1 (12 ounce) can chilled lemon-lime soda,,,,,6 fluid ounces bourbon,,,,,,,['Cranberry Slush']
63,"2 quarts eggnog, chilled",3 cups cold coffee,,,,,,,,,,,2 cups bourbon whiskey (optional),,,,,2 cups chilled heavy cream,2 pints coffee ice cream,"1/4 teaspoon ground nutmeg, for garnish",,,,,['Eggnog Royale']
64,1 (1.5 fluid ounce) jigger bourbon whiskey,1/2 cup orange juice,,,,,,,,,,,1 teaspoon frozen lemonade concentrate,,,,,1 teaspoon frozen limeade concentrate,1/3 cup ginger ale,,,,,,['Thanksgiving Turkey']
65,1 cup vodka,1 cup sloe gin,,,,,,,,,,,1 cup amaretto liqueur,,,,,1 cup peach-flavored bourbon liqueur (such as Southern Comfort ®),2 (46 fluid ounce) cans unsweetened pineapple juice,,,,,,['Ha Ha Juice (a.k.a. Party Punch)']
66,"6 fresh mint leaves, or more to taste",1 fluid ounce Kentucky bourbon,,,,,,,,,,,2 teaspoons maple syrup,,,,,"ice, or as needed","4 fluid ounces lemonade, or to taste",1 sprig fresh mint,1 lemon wedge,,,,['Yankee Mint Julep']
67,1 (1.5 fluid ounce) jigger Kentucky bourbon,1/2 fluid ounce triple sec liqueur,,,,,,,,,,,1/2 cup prepared lemonade,,,,,2 fluid ounces chilled lemon-lime soda per serving,1 wedge lemon,,,,,,['Texas Tea II']
68,crushed ice,1/2 cup lemon vodka,,,,,,,,,,,1 tablespoon orange liqueur,,,,,1 1/2 cups chilled champagne,4 slices fresh orange,,,,,,['The Lisa-tini Martini']
69,1 sugar cube,1 dash bitters (such as Angostura®),,,,,,,,,,,5 fluid ounces Champagne,,,,,,,,,,,,['Annex Theater Champagne Cocktail']
70,2 cups ice cubes,1 cup Prosecco (Italian sparkling wine),,,,,,,,,,,1 cup orange juice,,,,,1 cup cranberry juice,"2 lemons, zested",,,,,,['Sicilian Sunset']
71,3/4 fluid ounce pear brandy,5 fluid ounces Champagne or other sparkling white wine,,,,,,,,,,,1 tablespoon whole-berry blackberry preserves,,,,,,,,,,,,['The Champagne Cocktail']
72,1 (1.5 fluid ounce) jigger vodka,1 (1.5 fluid ounce) jigger peach schnapps,,,,,,,,,,,1 tablespoon sugar,,,,,1/2 cup champagne,1/2 (16 ounce) package frozen sliced peaches,1/2 cup fuzzy navel mix,1 cup ice,,,,['Wallaby-Darned']
73,1/4 cup orange liqueur (such as Grand Marnier®),2 tablespoons white sugar,,,,,,,,,,,1 cup orange juice,,,,,"1 (750 milliliter) bottle brut champagne, chilled",,,,,,,['Holiday Mimosa']
74,1 (1.5 fluid ounce) jigger amaretto liqueur,4 fluid ounces champagne,,,,,,,,,,,,,,,,,,,,,,,['Bad Day']
75,4 ounces brut Champagne,1 1/2 tablespoons cranberry juice,,,,,,,,,,,,,,,,,,,,,,,['Poinsettias']
76,1 quart orange juice,1 (750 milliliter) bottle champagne,,,,,,,,,,,,,,,,,,,,,,,"[""Rise 'n Shine Juice""]"
77,1 (12 fluid ounce) can frozen cranberry juice concentrate,1 (12 fluid ounce) can frozen pink lemonade concentrate,,,,,,,,,,,1 (6 ounce) can frozen limeade concentrate,,,,,"1 (750 milliliter) bottle white wine, chilled","1 liter carbonated water, chilled","2 (750 milliliter) bottles champagne, chilled","1 lemon - sliced, for garnish","1/2 cup fresh mint, garnish",,,['Champagne Punch III']
78,1 (12 ounce) can apricot-mango nectar,1 (12 ounce) can pineapple juice,,,,,,,,,,,3/4 cup cold water,,,,,"1 (6 ounce) can frozen orange juice concentrate, thawed and undiluted",1 (750 milliliter) bottle cold champagne,,,,,,['Party Mimosa']
79,"3/4 cup champagne, chilled",1/4 cup orange juice,,,,,,,,,,,,,,,,,,,,,,,['Mimosa']
80,1 quart orange sherbet,2 quarts fresh orange juice,,,,,,,,,,,"1 (2 liter) bottle ginger ale, chilled",,,,,"2 (750 milliliter) bottles champagne, chilled",,,,,,,"[""New Year's Champagne Punch""]"
81,3 (11.5 ounce) cans peach nectar,1 (6 ounce) can frozen orange juice concentrate,,,,,,,,,,,1/4 cup lemon juice,,,,,1/2 cup peach brandy,1/4 cup grenadine syrup,1 (32 fluid ounce) bottle carbonated water,3 (750 milliliter) bottles champagne,,,,['Champagne Peach Punch']
82,1 (3 ounce) package red or blue colored instant Jell-O® mix,1 cup boiling water,,,,,,,,,,,1 cup vodka,,,,,1 (750 milliliter) bottle champagne,,,,,,,['Lava Lamps']
83,1/2 gallon raspberry sherbet,"2 (750 milliliter) bottles champagne, chilled",,,,,,,,,,,1 (750 milliliter) bottle sweet red wine,,,,,"1 (2 liter) bottle ginger ale, chilled",,,,,,,['Champagne Punch I']
84,1 cup sugar,1 (750 milliliter) bottle Burgundy wine,,,,,,,,,,,"2 (750 milliliter) bottles champagne, chilled",,,,,8 fluid ounces brandy,1 quart club soda,,,,,,"[""Grandpa Harry's Holiday Punch""]"
