	drink_name	ingredient	measurement
257	Scorpion Bowl	ice	3 cups
258	Scorpion Bowl	gin	2 fluid ounces
259	Scorpion Bowl	dark rum	1 fluid ounce
260	Scorpion Bowl	 proof rum	2 fluid ounces
261	Scorpion Bowl	light rum	2 fluid ounces
262	Scorpion Bowl	vodka	2 fluid ounces
263	Scorpion Bowl	grenadine	2 fluid ounces
264	Scorpion Bowl	orange	8 fluid ounces
265	Scorpion Bowl	pineapple	10 fluid ounces
266	Scorpion Bowl	 rum optional	3 fluid ounces
267	Scorpion Bowl	pineapple	4
268	Scorpion Bowl	 maraschino	8
269	LimeAid	n concentrate	1 (6 ounce) can
270	LimeAid	 cubes	1
271	LimeAid	water	3 fluid ounces
272	LimeAid	vodka	3 fluid ounces
273	LimeAid	 lime ested	1
274	Storm of the Century Hurricane	 cubes	1 cup
275	Storm of the Century Hurricane	light rum	1 fluid ounce
276	Storm of the Century Hurricane	dark rum	1 fluid ounce
277	Storm of the Century Hurricane	coconut rum	1 fluid ounce
278	Storm of the Century Hurricane	vodka	1 fluid ounce
279	Storm of the Century Hurricane	gin	1 fluid ounce
280	Storm of the Century Hurricane	 chambord	1 fluid ounce
281	Storm of the Century Hurricane	 triple sec liqueur	1 fluid ounce
282	Storm of the Century Hurricane	orange	3 fluid ounces
283	Storm of the Century Hurricane	orange wheel garnish	
284	Storm of the Century Hurricane	mint for garnish	
285	Salty Dog II	gin	1 (1.5 fluid ounce) jigger
286	Salty Dog II	grapefruit soda	5 fluid ounces
287	Salty Dog II	salt	1/4 teaspoon
288	Bees Knees II	pineapple	1 (46 fluid ounce) can
289	Bees Knees II	grapefruit soda	1 (46 fluid ounce) can
290	Bees Knees II	honey	1 (8 ounce
291	Bees Knees II	gin	2 cups
292	Toy Soldiers	fruit	2 (46 fluid ounce) cans
293	Toy Soldiers	sloe gin	1 pint
294	Toy Soldiers	vodka	1 pint
295	Toy Soldiers	ice	8 cups
296	Northern Comfort	peach schnapps	2 (1.5 fluid ounce) jiggers
297	Northern Comfort	bourbon	1 (1.5 fluid ounce) jigger
298	Northern Comfort	ice	
299	Shaggys Manhattan	vermouth	1 fluid ounce
300	Shaggys Manhattan	bourbon	3 fluid ounces
301	Shaggys Manhattan	butter	2 dashes
302	Shaggys Manhattan	 maraschino	2
303	The John Collins Cocktail	bourbon	2 fluid ounces
304	The John Collins Cocktail	lemon	1 fluid ounce
305	The John Collins Cocktail	maple syrup	1 teaspoon
306	The John Collins Cocktail	 divided	2 cups
307	The John Collins Cocktail	club soda	2 fluid ounces
308	The John Collins Cocktail	orange slice	1
309	The John Collins Cocktail	lemon	1
310	The John Collins Cocktail	 maraschino	1
311	Old Fashioned Cocktail	sugar cube	
312	Old Fashioned Cocktail	water	1 teaspoon
313	Old Fashioned Cocktail	butter	1 dash
314	Old Fashioned Cocktail	bourbon	2 fluid ounces
315	Old Fashioned Cocktail	lemon twist	1
316	Old Fashioned Cocktail	 cubes	
317	Old Fashioned Cocktail	orange wheel garnish	1
318	Old Fashioned Cocktail	 maraschino	1
319	Mint Julep Cocktail	mint leaves	8
320	Mint Julep Cocktail	maple syrup	1 teaspoon
321	Mint Julep Cocktail	bourbon	2 1/2 fluid ounces
322	Mint Julep Cocktail	ice	
323	Mint Julep Cocktail	fresh mint for garnish	1
324	Bourbon Slush	n concentrate	1 (6 ounce) can
325	Bourbon Slush	n concentrate	1 (12 ounce) can
326	Bourbon Slush	pineapple	1 (46 fluid ounce) can
327	Bourbon Slush	sugar	1 1/2 cups
328	Bourbon Slush	 brewed tea	2 cups
329	Bourbon Slush	bourbon	2 cups
330	Bourbon Slush	 colaflavored carbonated beverage	1 (2 liter) bottle
331	Mint Juleps	water	2 cups
332	Mint Juleps	sugar	2 cups
333	Mint Juleps	mint leaves	1/2 cup
334	Mint Juleps	 kentucky bourbon	32 fluid ounces
335	Mint Juleps	mint	8
336	OldFashioned Swedish Glogg	port	5 (750 milliliter) bottles
337	OldFashioned Swedish Glogg	bourbon	1 (750 milliliter) bottle
338	OldFashioned Swedish Glogg	rum	1 (750 milliliter) bottle
339	OldFashioned Swedish Glogg	cracked ice	3
340	OldFashioned Swedish Glogg	 cinnamon stick	1
341	OldFashioned Swedish Glogg	 whole clove	4
342	OldFashioned Swedish Glogg	 strip orange est	1 (3 inch
343	OldFashioned Swedish Glogg	 square of cheesecloth	1 (8 inch
344	OldFashioned Swedish Glogg	sugar	3/4 cup
345	OldFashioned Swedish Glogg	 raisins	1 (15 ounce
346	OldFashioned Swedish Glogg	 blanched almonds	1 (6 ounce
347	Chef Johns Homemade Eggnog	custard base	
348	Chef Johns Homemade Eggnog	egg	4
349	Chef Johns Homemade Eggnog	sugar	1/3 cup
350	Chef Johns Homemade Eggnog	 whole milk	2 cups
351	Chef Johns Homemade Eggnog	heavy cream	1 cup
352	Chef Johns Homemade Eggnog	nutmeg	3/4 teaspoon
353	Chef Johns Homemade Eggnog	bourbon	2 fluid ounces
354	Chef Johns Homemade Eggnog	meringue	
355	Chef Johns Homemade Eggnog	egg white	4
356	Chef Johns Homemade Eggnog	sugar	1 tablespoon
357	Chef Johns Homemade Eggnog	nutmeg	1 pinch
358	Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog	 eggs	6
359	Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog	sugar	1 1/4 cups
360	Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog	 quart bourbon	1
361	Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog	rum	1 cup
362	Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog	halfandhalf	2
363	Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog	 ground nutmeg	2 teaspoons
364	Dons Friend Tonjas Cousin Tonis Boyfriends Grandmothers Eggnog	heavy cream	1 pint
365	Bettys Famous Eggnog	 eggs	12
366	Bettys Famous Eggnog	sugar	4 1/2 cups
367	Bettys Famous Eggnog	bourbon	1 (750 milliliter) bottle
368	Bettys Famous Eggnog	dark rum	1/2 (750 milliliter) bottle
