	drink_name	ingredient	measurement
3555	The Shrubarb Cocktail	e juice	1/2 ounce
3556	The Shrubarb Cocktail	club soda for serving	
3557	Classic Martini	gin	3/4 cup
3558	Classic Martini	vermouth	2 teaspoons
3559	Classic Martini	 green olives	
3560	The Spring Forward	 bottle  ml gin	1
3561	The Spring Forward	rosemary	2
3562	The Spring Forward	 rosemaryinfused vodka	1 1/2 ounces
3563	The Spring Forward	maple syrup	1/2 ounce
3564	The Spring Forward	grapefruit soda	1/2 ounce
3565	The Spring Forward	e juice	1/2 ounce
3566	The Spring Forward	mint sprig for serving	
3567	Especiado Cocktail	 dried hibiscus flowers	2 cups
3568	Especiado Cocktail	brown sugar	1 cup
3569	Especiado Cocktail	rosemary	4
3570	Especiado Cocktail	 whole clove	8
3571	Especiado Cocktail	 allspice berries	6
3572	Especiado Cocktail	  cinnamon sticks divided	2
3573	Especiado Cocktail	 star anise pods	3
3574	Especiado Cocktail	mecal	12 ounces
3575	Especiado Cocktail	 lemon halved	8
3576	The Jimmie Roosevelt	 sugar cube soaked with angostura bitters	1
3577	The Jimmie Roosevelt	 crushed or cracked ice	1
3578	The Jimmie Roosevelt	cognac	2 ounces
3579	The Jimmie Roosevelt	champagne	2 ounces
3580	The Jimmie Roosevelt	 chartreuse liqueur	1/4 ounce
3581	Charred RosemaryInfused Vodka	 rosemary sprig	1
3582	Charred RosemaryInfused Vodka	  ml bottle vodka reserve bottle	1
3583	White Noise Sprit	o bianco	1 1/2 ounces Cocchi American
3584	White Noise Sprit	 stgermain liqueur	1 ounce
3585	White Noise Sprit	club soda	2 ounces
3586	White Noise Sprit	grapefruit soda	1
3587	Bobby Burns	scotch	1 ounce
3588	Bobby Burns	vermouth	1/2 ounce
3589	Bobby Burns	vermouth	1/2 ounce
3590	Bobby Burns	dash benedictine	
3591	Bobby Burns	 cubes	3
3592	Sweet Amigos	orange wheel	1
3593	Sweet Amigos	 dark sweet cherries  pitted	2
3594	Sweet Amigos	 reposado tequila	2 oz 
3595	Sweet Amigos	agave nectar	1/4 oz 
3596	Sweet Amigos	pinch of salt	
3597	Conference	 rittenhouse  rye	1/2 ounce
3598	Conference	 buffalo trace bourbon	1/2 ounce
3599	Conference	 calvados	1/2 ounce
3600	Conference	 hine h cognac	1/2 ounce
3601	Conference	 demerara sugar	1 teaspoon
3602	Conference	angostura bitters	2 dashes
3603	Conference	 bittermens xocolatl mole bitters	1 dash
3604	Conference	lemon twist	1
3605	Conference	orange twist	1
3606	Gin  Tonic	 gin preferably fords	2 ounces
3607	Gin  Tonic	lime wedges	1
3608	Gin  Tonic	 ice water	3 to 4 ounces
3609	OrangeCardamom Spriter	 granulated sugar	1/2 cup
3610	OrangeCardamom Spriter	water	1/2 cup
3611	OrangeCardamom Spriter	cardamom	2 teaspoons
3612	OrangeCardamom Spriter	 strip orange est removed with a vegetable peeler	2-inch
3613	OrangeCardamom Spriter	prosecco	1 750-ml
3614	OrangeCardamom Spriter	cardamom syrup recipe follows	
3615	OrangeCardamom Spriter	angostura bitters	
3616	OrangeCardamom Spriter	orange twists for serving	
3617	Mothers Ruin Punch	sugar	8
3618	Mothers Ruin Punch	club soda	2 ounces
3619	Mothers Ruin Punch	 plymouth gin	4 ounces
3620	Mothers Ruin Punch	 cinnamon orange teainfused sweet vermouth below	2 ounces
3621	Mothers Ruin Punch	grapefruit soda	4 ounces
3622	Mothers Ruin Punch	lemon	2 ounces
3623	Mothers Ruin Punch	champagne	3 ounces
3624	Mothers Ruin Punch	garnish  grapefruit wheels	6
3625	SaintFlorent Cocktail	 whole clove	1/4 cup
3626	SaintFlorent Cocktail	 hot water	2 tablespoon
3627	SaintFlorent Cocktail	gin	6 tablespoons
3628	SaintFlorent Cocktail	e juice	3 tablespoons
3629	SaintFlorent Cocktail	 aperol	2 tablespoons
3630	SaintFlorent Cocktail	 honey syrup	1 tablespoon
3631	SaintFlorent Cocktail	angostura bitters	2 dashes
3632	SaintFlorent Cocktail	ice	
3633	SaintFlorent Cocktail	champagne	
3634	SaintFlorent Cocktail	garnish	
3635	Celery Tonic	 chopped celery	1
3636	Celery Tonic	sugar	1 tablespoon
3637	Celery Tonic	e juice	1 ounce
3638	Celery Tonic	gin	2 ounces
3639	Celery Tonic	ice	
3640	Celery Tonic	lemon twist	
3641	Trouble in Paradise	honey	2 tablespoons
3642	Trouble in Paradise	basil sprig for garnish	2
3643	Trouble in Paradise	bourbon	1 ounce
3644	Trouble in Paradise	campari	1 ounce
3645	Trouble in Paradise	grapefruit soda	3/4 ounce
3646	Trouble in Paradise	lemon	3/4 ounce
3647	Trouble in Paradise	 honey syrup	1/2 ounce
3648	Trouble in Paradise	 grinds of black pepper	2
3649	Blackberry and Ginger Cocktail	blackberries	1/2 pint
3650	Blackberry and Ginger Cocktail	mint sprigs	8
3651	Blackberry and Ginger Cocktail	vodka	1 1/2 cups
3652	Blackberry and Ginger Cocktail	e juice	1 cup
3653	Blackberry and Ginger Cocktail	 or more ginger beer	3 12-ounce cans
3654	Blackberry and Ginger Cocktail	ice	
3655	Blackberry and Ginger Cocktail	mint garnish	
3656	Blackberry Summer Smash	 sprig celery leaves	6
3657	Blackberry Summer Smash	blackberries	11
3658	Blackberry Summer Smash	e juice	1 tablespoon
3659	Blackberry Summer Smash	 cubes	
3660	Blackberry Summer Smash	ginger beer chilled	1/4 cup
3661	Blackberry Summer Smash	 bourbon optional	2 tablespoons
3662	Pineapple and Gin	n	3 cups pineapple pieces, froze
3663	Pineapple and Gin	gin	6 ounces
3664	Pineapple and Gin	maple syrup	2 ounces
3665	Pineapple and Gin	e juice	1 ounce
3666	Pineapple and Gin	pineapple	1 ounce
3667	Pineapple and Gin	ice	2 cups
3668	Pineapple and Gin	optional garnish tarragon sprigs	
3669	Peach Ginger and Bourbon	n	3 cups sliced peeled peaches, froze
3670	Peach Ginger and Bourbon	 finely grated ginger	2 tablespoons
3671	Peach Ginger and Bourbon	bourbon	6 ounces
3672	Peach Ginger and Bourbon	maple syrup	3 ounces
3673	Peach Ginger and Bourbon	e juice	2 ounces
3674	Peach Ginger and Bourbon	ice	2 cups
3675	Peach Ginger and Bourbon	 sprigs sage	
3676	Watermelon Lime and Tequila	n	3 1/2 cups watermelon pieces, froze
3677	Watermelon Lime and Tequila	 thick	1/2
3678	Watermelon Lime and Tequila	 tequila blanco	6 ounces
3679	Watermelon Lime and Tequila	maple syrup	4 ounces
3680	Watermelon Lime and Tequila	e juice	2 ounces
3681	Watermelon Lime and Tequila	ice	3 cups
3682	Watermelon Lime and Tequila	 star fruit sliced optional for garnish	
3683	Strawberries and Vodka	n	3 cups halved hulled strawberries, froze
3684	Strawberries and Vodka	vodka	6 ounces
3685	Strawberries and Vodka	other	4 ounces simple syrup + 1 1/2 ounces
3686	Strawberries and Vodka	e juice	
3687	Strawberries and Vodka	ice	2 cups
3688	Strawberries and Vodka	optional garnish tarragon sprigs	
3689	Berries and Rum	n	2 cups blackberries, froze
3690	Berries and Rum	n	1 1/2 cups raspberries, froze
3691	Berries and Rum	light rum	6 ounces
3692	Berries and Rum	maple syrup	4 ounces
3693	Berries and Rum	e juice	1 1/2 ounces
3694	Berries and Rum	ice	2 cups
3695	Berries and Rum	blackberries	
3696	SrirachaLada	e juice	1 ounce
3697	SrirachaLada	 sriracha	2 teaspoons
3698	SrirachaLada	worcestershire sauce	1/2 teaspoon
3699	SrirachaLada	mexican lager such as pacifico	
3700	SrirachaLada	garnish	
3701	SrirachaLada	salt rimmed pint glass	
3702	Raspberry Snakebite	creme de cassis	1 ounce
3703	Raspberry Snakebite	 framboise	
3704	Raspberry Snakebite	mint	
3705	Vitamin C Brew	orange	2 ounces
3706	Vitamin C Brew	gin	1 ounce
3707	Vitamin C Brew	 light lager such as miller high life	
3708	Vitamin C Brew	orange wheel garnish	
3709	Aperol Mist	 aperol	1 ounce
3710	Aperol Mist	e juice	1 ounce
3711	Aperol Mist	hefeweienstyle belgian beer such as hoegaarden	
3712	Aperol Mist	lemon twist	
3713	Grilled Bloody Mary	 pounds tomatoes chopped	2
3714	Grilled Bloody Mary	 lemon halved	2
3715	Grilled Bloody Mary	garnish celery stalks	7
3716	Grilled Bloody Mary	worcestershire sauce	1 1/2 tablespoons
3717	Grilled Bloody Mary	 freshly grated horseradish	1 1/2 teaspoons
3718	Grilled Bloody Mary	sugar	1 1/2 teaspoons
3719	Grilled Bloody Mary	 kosher salt plus more for seasoning	1 1/2 teaspoons
3720	Grilled Bloody Mary	 ground black pepper	1/2 teaspoon
3721	Grilled Bloody Mary	vodka	8 ounces (1 cup
3722	Grilled Bloody Mary	tabasco sauce for serving	
3723	Grilled Lemon Shandy	 lemon halved	6
3724	Grilled Lemon Shandy	 mint simple syrup	1/2 cup
3725	Grilled Lemon Shandy	 ice water	1 3/4 cups
3726	Grilled Lemon Shandy	six  pilsners	12-ounce
3727	ExtraStormy Dark and Stormy	 lemonginger brew	2 ounces
3728	ExtraStormy Dark and Stormy	dark rum	2 ounces
3729	ExtraStormy Dark and Stormy	club soda	
3730	ExtraStormy Dark and Stormy	lime wedge	
3731	ExtraStormy Dark and Stormy	candied ginger	
3732	The Elvis	grapefruit soda	3 ounces
3733	The Elvis	 london dry gin	1 1/2 ounces
3734	The Elvis	 stgermain liqueur	1/4 ounce
3735	The Elvis	india pale ale for serving	
3736	The Elvis	orange twists for serving	
3737	Past Derby Winner	 fresh sage leaves	3
3738	Past Derby Winner	 drops meyer lemon bitters such as brooklyn hemispherical	10
3739	Past Derby Winner	 freshly squeeed lime juice	3/4 ounce
3740	Past Derby Winner	 mint simple syrup	1/2 ounce
3741	Past Derby Winner	 rok hill farms bourbon or blantons	1 ounce
3742	Past Derby Winner	sparkling wine	
3743	Roman Holiday Cocktail	 sprig celery leaves	8
3744	Roman Holiday Cocktail	maple syrup	1/2 ounces
3745	Roman Holiday Cocktail	 averna amaro siciliano	1 ounce
3746	Roman Holiday Cocktail	vermouth	1 ounce
3747	Roman Holiday Cocktail	e juice	3/4 ounces
3748	Roman Holiday Cocktail	lemon twist for serving	
3749	The Byrrh Special	 byrrh	1 1/2 ounces
3750	The Byrrh Special	 london dry gin	1 1/2 ounces
3751	The Byrrh Special	lemon twist for serving	
3752	Blackberry Moonshine	 unaged white whiskey eg moonshine	3/4 ounce
3753	Blackberry Moonshine	cherry liqueur	1/4 ounce
3754	Blackberry Moonshine	 blackberry puree or muddle one blackberry with a splash of simple syrup	1/4 ounce
3755	Blackberry Moonshine	juice from  lemon wedge	1
3756	Irish Flag	 crme de menthe	
3757	Irish Flag	 licor 	43
3758	Irish Flag	baileys irish cream	
3759	Chipotle Sangrita	tomato juice	1 cup
3760	Chipotle Sangrita	 chipotle puree in adobo sauce	1 teaspoon
3761	Chipotle Sangrita	juice from  lemon wedge	1
3762	Chipotle Sangrita	 reposado tequila	1 1/2-ounce chilled shot
3763	Fighting Irish	 yearold irish whiskey such as redbreast	3/4 ounce
3764	Fighting Irish	whisky	3/4 ounce
3765	Fighting Irish	 chartreuse	3/4 ounce
3766	Fighting Irish	 freshly squeeed lime juice	3/4 ounce
3767	Fighting Irish	e juice	3/4 ounce
3768	Fighting Irish	orgeat syrup	1/2 ounce
3769	Fighting Irish	 habanero bitters such as bittermens	5 dashes
3770	Fighting Irish	nutmeg	
3771	Fighting Irish	sweet and sour	.
3772	Bloody Hell Bloody Mary	worcestershire sauce	2 tablespoons
3773	Bloody Hell Bloody Mary	 freshly squeeed lime juice	2 tablespoons
3774	Bloody Hell Bloody Mary	 prepared horseradish	1 teaspoon
3775	Bloody Hell Bloody Mary	 hot sauce such as tabasco	1/2 teaspoon
3776	Bloody Hell Bloody Mary	 celery seed	1/4 teaspoon
3777	Bloody Hell Bloody Mary	 ground ginger	1/4 teaspoon
3778	Bloody Hell Bloody Mary	 ground black pepper	1/4 teaspoon
3779	Bloody Hell Bloody Mary	salt	1/4 teaspoon
3780	Bloody Hell Bloody Mary	tomato juice	2 cups (16 ounces
3781	Bloody Hell Bloody Mary	 gin or vodka	1/2-3/4 cup (4-6 ounces
3782	Bloody Hell Bloody Mary	 bacon salt such as jds brand	2 tablespoons
3783	Bloody Hell Bloody Mary	lime wedges	
3784	Bloody Hell Bloody Mary	bacon twists for garnish	
3785	Orange Mint Julep	 strip orange est removed with a vegetable peeler	1
3786	Orange Mint Julep	sugar	1/2 cup
3787	Orange Mint Julep	 pieces	1/2
3788	Orange Mint Julep	 bunch mint	1
3789	Orange Mint Julep	orange bitters	
3790	Orange Mint Julep	bourbon	8 ounces
3791	Herbed Feta Dip	 feta	6 ounces
3792	Herbed Feta Dip	 chopped fresh mint	1/2 cup
3793	Herbed Feta Dip	 chopped fresh mint	1/4 cup
3794	Herbed Feta Dip	 sprigs fresh oregano	2 tablespoons
3795	Herbed Feta Dip	 ground black pepper	
3796	Herbed Feta Dip	olive oil	
3797	Spicy Spiked Hot Chocolate	 whole milk	2 cups
3798	Spicy Spiked Hot Chocolate	heavy cream	1 cup
3799	Spicy Spiked Hot Chocolate	sugar	1/3 cup
3800	Spicy Spiked Hot Chocolate	 ancho chile lightly crushed	1/2
3801	Spicy Spiked Hot Chocolate	 cinnamon stick	1
3802	Spicy Spiked Hot Chocolate	 vanilla bean	1/2
3803	Spicy Spiked Hot Chocolate	 bittersweet chocolate at least  cacao chopped	3 ounces
3804	Spicy Spiked Hot Chocolate	 xtabentn pernod or other aniseflavored liqueur	2 ounces
3805	Nacho Vidal	 lime halved	2
3806	Nacho Vidal	 apple cider vinegar	3/4 cup
3807	Nacho Vidal	sugar	3/4 cup
3808	Nacho Vidal	honey	2 tablespoons
3809	Nacho Vidal	pepper	1 1/2 teaspoon
3810	Nacho Vidal	 tequila blanco	2 cups
3811	Nacho Vidal	campari	1 1/2 cups
3812	Nacho Vidal	e juice	3/4 cup
3813	Nacho Vidal	e juice	3/4 cup
3814	Nacho Vidal	lime wedge for serving	8
3815	Red Red Red	 cooked beets	8 ounces
3816	Red Red Red	 chunks	1 Granny Smith apple, peeled, cored, and cut into 1-inch
3817	Red Red Red	 granulated sugar	1 cup
3818	Red Red Red	water	1 1/4 cups
3819	Red Red Red	 apple cider vinegar	3/4 cup
3820	Red Red Red	 star anise pods	6
3821	Red Red Red	allspice	2 teaspoons
3822	Red Red Red	prosecco	1
3823	Red Red Red	use homemade roasted beets or storebought vacuumsealed beetsned beets which are too soft and waterlogged to use in cocktails	. Avoid can
3824	Hot Toddy	honey	6 tablespoons
3825	Hot Toddy	dark rum	8 ounces
3826	Hot Toddy	 boiling water	24 ounces
3827	Hot Toddy	lemon	4
3828	Rompope Mexican Milk Egg Spice and Liquor Punch	 blanched almonds	2/3 cup
3829	Rompope Mexican Milk Egg Spice and Liquor Punch	 granulated sugar	1 1/2 cups plus 2 tablespoons
3830	Rompope Mexican Milk Egg Spice and Liquor Punch	 whole milk	6 cups
3831	Rompope Mexican Milk Egg Spice and Liquor Punch	 cinnamon stick	2
3832	Rompope Mexican Milk Egg Spice and Liquor Punch	 of a lemon	1
3833	Rompope Mexican Milk Egg Spice and Liquor Punch	vanilla	1 teaspoon
3834	Rompope Mexican Milk Egg Spice and Liquor Punch	 baking soda	1/4 teaspoon
3835	Rompope Mexican Milk Egg Spice and Liquor Punch	egg	8
3836	Rompope Mexican Milk Egg Spice and Liquor Punch	 white rum or aguardiente	1 cup
3837	Rompope Mexican Milk Egg Spice and Liquor Punch	 of a lemon	.
3838	Rompope Mexican Milk Egg Spice and Liquor Punch	aguardiente literally means burning water in spanishe its available at most liquor stores	. It is a strong (29% or higher) spirit distilled from fruits, grains, and commonly sugarcan
3839	Sage Brown Derby	whiskey	2 ounces
3840	Sage Brown Derby	grapefruit soda	1 ounce
3841	Sage Brown Derby	e juice	1/2 ounce
3842	Sage Brown Derby	agave nectar	1/4 ounce
3843	Sage Brown Derby	butter	2 dashes
3844	Sage Brown Derby	 dried sage leaf	1
3845	Sustina Sour	 whole clove	1/4 cup
3846	Sustina Sour	e juice	3 ounces
3847	Sustina Sour	grand marnier	3 ounces
3848	Sustina Sour	 slivovit or other plum brandy	3 ounces
3849	Sustina Sour	gin	2 ounces
3850	Sustina Sour	 maraschino	4
3851	Sustina Sour	rosemary	4
3852	Tamarind Whiskey Sour	brown sugar	1/3 cup
3853	Tamarind Whiskey Sour	bourbon	6 ounces
3854	Tamarind Whiskey Sour	e juice	4 ounces
3855	Tamarind Whiskey Sour	 tamarind concentrate	2 ounces
3856	Tamarind Whiskey Sour	maraschino cherry for serving	
3857	Tamarind Whiskey Sour	 tamarind concentrate	.
3858	New York Sour	 large egg white	1
3859	New York Sour	whiskey	4 ounces
3860	New York Sour	e juice	1 1/2 ounces
3861	New York Sour	maple syrup	1 ounce
3862	New York Sour	 fullbodied red wine	1 ounce
3863	Spiced Dark and Stormy	 allspice berries	2 teaspoons
3864	Spiced Dark and Stormy	 black peppercorns	2 teaspoons
3865	Spiced Dark and Stormy	 strips lime est	4
3866	Spiced Dark and Stormy	 milliliter bottle vodka	1
3867	Spiced Dark and Stormy	e juice	3 ounces
3868	Spiced Dark and Stormy	ginger	1 12-ounce can
3869	Spiced Dark and Stormy	lime wedge for serving	2
3870	Spiced Dark and Stormy	a spice mill or mortar and pestle	
3871	Brans Dram	 bag berry herbal tea	1
3872	Brans Dram	rum	1 1/2 ounces
3873	Brans Dram	e juice	1/2 ounce
3874	Brans Dram	honey	1 teaspoon
3875	Brans Dram	lemon twist	
3876	Puerto Rican Coconut Eggnog Coquito	 evaporated milk	12-ounce can
3877	Puerto Rican Coconut Eggnog Coquito	egg	2
3878	Puerto Rican Coconut Eggnog Coquito	milk	15-ounce can
3879	Puerto Rican Coconut Eggnog Coquito	condensed milk	14-ounce can
3880	Puerto Rican Coconut Eggnog Coquito	rum	1 cup
3881	Puerto Rican Coconut Eggnog Coquito	cinnamon	1/4 teaspoon
3882	Puerto Rican Coconut Eggnog Coquito	pinch of salt	
3883	Pimms Iced Tea	 cubes	
3884	Pimms Iced Tea	 pimms no	1/3 cup
3885	Pimms Iced Tea	 brewed orange pekoe tea chilled	3/4 cup
3886	Pimms Iced Tea	 honey syrup	1 1/2 teaspoons
3887	Pimms Iced Tea	 freshly squeeed lime juice	1 1/2 tablespoons
3888	Pimms Iced Tea	garnish mint sprigs lime wedges	
3889	Cranberry Margarita	n cranberries	3/4 cup
3890	Cranberry Margarita	sugar	1/4 cup
3891	Cranberry Margarita	 finely grated orange est	1 teaspoon
3892	Cranberry Margarita	orange	2 tablespoons
3893	Cranberry Margarita	kosher salt	1 tablespoon
3894	Cranberry Margarita	sugar	1 tablespoon
3895	Cranberry Margarita	 chinese fivespice powder	1 1/2 teaspoon
3896	Cranberry Margarita	e juice	1 lime wedge, plus 2 ounces
3897	Cranberry Margarita	orange	4 ounces
3898	Cranberry Margarita	tequila	6 ounces
3899	The New England Express	sugar	1/3 cup
3900	The New England Express	 sprigs thyme	8
3901	The New England Express	cider	2 cups
3902	The New England Express	dark rum	1 1/2 cups
3903	The New England Express	e juice	3/4 cup
3904	The New England Express	angostura bitters	1 teaspoon
3905	The New England Express	club soda	
3906	The New England Express	 sprigs thyme	8
3907	The New England Express	lime slices	8
3908	Ginger Fi	 grated peeled ginger	3
3909	Ginger Fi	 granulated sugar	1/2 cup
3910	Ginger Fi	prosecco	2
3911	Ginger Fi	 orange slices	8
3912	Dark Moon	coffee	1 1/2 cups
3913	Dark Moon	coffee liqueur	1/2 cup
3914	Dark Moon	spiced rum	1/2 cup
3915	Dark Moon	other	1 12-ounce bottle Coca-Cola, preferably Mexican
3916	Dark Moon	heavy cream	1/2 cup
3917	Bloody Beers	kosher salt	1/4 cup
3918	Bloody Beers	pepper	1 teaspoon
3919	Bloody Beers	lime wedges	8
3920	Bloody Beers	tomato juice	2 cups
3921	Bloody Beers	e juice	8 tablespoons
3922	Bloody Beers	hot sauce	
3923	Bloody Beers	worcestershire sauce	
3924	Bloody Beers	 light lager	8 12-ounce cans
3925	Bloody Beers	spicy pickled green beans and fennel optional	
3926	Evening in Kingston	 amber rum	1 1/2 cups
3927	Evening in Kingston	campari	1 cup
3928	Evening in Kingston	vermouth	1 cup
3929	Evening in Kingston	 bottles chilled sparkling wine	1
3930	Evening in Kingston	 orange twists if desired	12
3931	Autumn Gin Sour	 london dry gin	2 1/4 cups
3932	Autumn Gin Sour	e juice	1 cup
3933	Autumn Gin Sour	grand marnier	3/4 cup
3934	Autumn Gin Sour	 large egg white	4
3935	Autumn Gin Sour	 orange marmalade	12 teaspoons
3936	Hey Hey My My	 aperol	1 1/2 ounces
3937	Hey Hey My My	 fino sherry	3/4 ounce
3938	Hey Hey My My	grapefruit soda	1 ounce
3939	Hey Hey My My	e juice	1/2 ounce
3940	Hey Hey My My	 mint simple syrup	1/4 ounce
3941	CinnamonSugarCayenne Rim	e juice	2 tablespoons sugar or evaporated can
3942	CinnamonSugarCayenne Rim	cinnamon	1/2 teaspoon
3943	CinnamonSugarCayenne Rim	cayenne pepper	1/4 teaspoon
3944	Suffering Baptist	 balcones true blue cask strength corn whisky	1 1/2 ounces
3945	Suffering Baptist	sloe gin	1 ounce
3946	Suffering Baptist	 freshly squeeed lime juice	1 ounce
3947	Suffering Baptist	angostura bitters	
3948	Suffering Baptist	root beer	2 ounces
3949	Suffering Baptist	garnish	
3950	Corpse Reviver 	 tenneyson absinthe royale or other blanche absinthe	3/4 ounce
3951	Corpse Reviver 	 stgermain liqueur	3/4 ounce
3952	Corpse Reviver 	 orange liqueuer we used paulas texas orange cointreau also works well	3/4 ounce
3953	Corpse Reviver 	 freshly squeeed lime juice	3/4 ounce
3954	Corpse Reviver 	orange wheel garnish	
3955	Joss Gin  Tonic	lime peel	1
3956	Joss Gin  Tonic	 strip lemon est	1
3957	Joss Gin  Tonic	 lemon verbena leaf	1
3958	Joss Gin  Tonic	 juniper berries	3
3959	Joss Gin  Tonic	 hendricks gin	1 1/2 ounces
3960	Joss Gin  Tonic	 ice water	3-4 ounces
3961	Peach Julep	 grated peeled ginger	1
3962	Peach Julep	cracked ice	1
3963	Peach Julep	sugar	1/4 cup
3964	Peach Julep	 ripe peaches peeled sliced	2
3965	Peach Julep	mint garnish	8
3966	Peach Julep	bourbon	8 ounces
3967	Peach Julep	e juice	4 ounces
3968	Peach Julep	ginger	12 ounces
3969	Raspberry and Aperol Floats	 sprig thyme	1
3970	Raspberry and Aperol Floats	sugar	1/4 cup
3971	Raspberry and Aperol Floats	 aperol	1/4 cup
3972	Raspberry and Aperol Floats	other	1 1/3 cups raspberries (about 6 ounces
3973	Raspberry and Aperol Floats	cream	1 pint
3974	Raspberry and Aperol Floats	club soda	2 12-ounce cans
3975	Kaimuki Daiquiri	sugar	1/3 cup
3976	Kaimuki Daiquiri	rum	2 cups
3977	Kaimuki Daiquiri	 ml fresh lime juice	3/4 cup
3978	Kaimuki Daiquiri	 celery bitters	6 dashes
3979	Kaimuki Daiquiri	basil flowers optional for serving	
3980	Whiskey Collins	lemon	2 tablespoons
3981	Whiskey Collins	superfine sugar	1 teaspoon
3982	Whiskey Collins	whiskey	2 ounces
3983	Whiskey Collins	 cubes	3
3984	Whiskey Collins	club soda	
3985	Whiskey Collins	slice orange optional	
3986	Whiskey Collins	 maraschino	
3987	CucumberCelery Margarita	kosher salt	
3988	CucumberCelery Margarita	 cucumber slices	4
3989	CucumberCelery Margarita	tequila	2 ounces
3990	CucumberCelery Margarita	e juice	1 ounce
3991	CucumberCelery Margarita	agave nectar	3/4 ounce
3992	CucumberCelery Margarita	 of celery shrub	4 dashes
3993	Spiked Strawberry Lemon Spriter	honey	1/2 cup
3994	Spiked Strawberry Lemon Spriter	 strawberries plus more for garnish	8
3995	Spiked Strawberry Lemon Spriter	vodka	12 ounces
3996	Spiked Strawberry Lemon Spriter	 lemons juiced	4
3997	Spiked Strawberry Lemon Spriter	sparkling wine	16 ounces
3998	Spiked Strawberry Lemon Spriter	lemon	1
3999	Blue Hawaiian	pineapple	2 ounces
4000	Blue Hawaiian	vodka	1 1/2 ounces
4001	Blue Hawaiian	 blue curaao	3/4 ounce
4002	Blue Hawaiian	e juice	1/2 ounce
4003	Blue Hawaiian	maple syrup	1/2 ounce
4004	Blue Hawaiian	splash of halfandhalf	
4005	Blue Hawaiian	lime slices for garnish	
4006	Pia Colada	gold rum	2 ounces
4007	Pia Colada	coconut rum	2 ounces
4008	Pia Colada	pineapple	4 ounces
4009	Pia Colada	 cubes	2
4010	Pia Colada	pineapple	
4011	Pia Colada	 maraschino	
4012	Infinite Zest	vodka	2 ounces
4013	Infinite Zest	 limoncello	1 ounce
4014	Infinite Zest	lemon	1/2 ounce
4015	A Confederacy of Ounces	 anise liqueur like herbsaint	1/2 ounce
4016	A Confederacy of Ounces	whiskey	1 1/2 ounces
4017	A Confederacy of Ounces	sugar	1 teaspoon
4018	A Confederacy of Ounces	peach bitters	3 dashes
4019	A Confederacy of Ounces	angostura bitters	2 dashes
4020	A Confederacy of Ounces	lemon twist	
4021	Mai Tai	dark rum	2 ounces
4022	Mai Tai	 curaao	1/2 ounce
4023	Mai Tai	apricot	1/2 ounce
4024	Mai Tai	lime juice	1 1/2 tablespoons
4025	Mai Tai	 cubes	3
4026	Mai Tai	pineapple	
4027	Eureka Tiki Punch	honey	20 ounces (2 1/2 cups
4028	Eureka Tiki Punch	water	20 ounces (2 1/2 cups
4029	Eureka Tiki Punch	 amber rum	60 ounces (7 1/2 cups
4030	Eureka Tiki Punch	 freshly squeeed lime juice	60 ounces (7 1/2 cups
4031	Eureka Tiki Punch	 chartreuse	20 ounces (2 1/2 cups
4032	Eureka Tiki Punch	 ice water	8 ounces (1 cup
4033	Eureka Tiki Punch	angostura bitters	1 tablespoon plus 3/4 teaspoon
4034	Eureka Tiki Punch	 ginger ale such as vernors	80 ounces (10 cups
4035	Eureka Tiki Punch	 ice block	1
4036	Eureka Tiki Punch	 lemon wheels divided	
4037	Eureka Tiki Punch	mint	
4038	Eureka Tiki Punch	edible flowers for garnish	
4039	StrawberryGinger Punch	sugar	1/3 cup
4040	StrawberryGinger Punch	 divided	12 ounces fresh strawberries, hulled, halved or quartered if large (about 3 cups
4041	StrawberryGinger Punch	  piece ginger unpeeled thinly sliced	1
4042	StrawberryGinger Punch	 packed torn fresh basil leaves	1/2 cup
4043	StrawberryGinger Punch	brandy	1 1/2 cups
4044	StrawberryGinger Punch	e juice	3 tablespoons
4045	StrawberryGinger Punch	club soda	2 12-ounce cans
4046	Sparkling TarragonGin Lemonade	 large sprigs tarragon	10
4047	Sparkling TarragonGin Lemonade	 orange thinly sliced	2
4048	Sparkling TarragonGin Lemonade	sugar	2 tablespoons
4049	Sparkling TarragonGin Lemonade	gin	3/4 cup
4050	Sparkling TarragonGin Lemonade	 stgermain liqueur	3/4 cup
4051	Sparkling TarragonGin Lemonade	e juice	1/3 cup
4052	Sparkling TarragonGin Lemonade	club soda	1 12-ounce can
4053	Wake County Cooler	 milliliter bottle vodka	750
4054	Wake County Cooler	 looseleaf black tea	2/3 cup
4055	Wake County Cooler	sugar	1/4 cup
4056	Wake County Cooler	e juice	1/2 ounce
4057	Wake County Cooler	lime wedge	
4058	Wake County Cooler	mint sprig	
4059	Wake County Cooler	club soda	
4060	The Modern Martini	sugar	2 tablespoons
4061	The Modern Martini	 milliliter bottle vodka	1
4062	The Modern Martini	 fresh cilantro leaves	3 cups
4063	The Modern Martini	e juice	1/4 cup
4064	The Modern Martini	 lime twists	8
4065	Matcharita	 tequila blanco	1 3/4 fl oz/
4066	Matcharita	orange curacao	2
4067	Matcharita	 tsp unsalted yuu juice	4
4068	Matcharita	maraschino liqueur	2
4069	Matcharita	 tsp brewed japanese matcha tea	1/4
4070	Matcharita	 cubes	
4071	Matcharita	 thin slices lemon	
